lon,lat,mag,time_string,depth,catalog_id,event_id
-122.96,47.81966666666667,4.04,2023-12-24T15:14:04.220000,52.39,,0
-124.5208333,40.756,4.03,2023-10-16T10:31:25.060000,23.63,,1
-124.0548333,40.3156667,4.83,2023-10-16T10:20:49.740000,31.06,,2
-122.73066666666666,48.04016666666666,4.3,2023-10-09T02:21:08.960000,54.95,,3
-124.287,40.2951667,4.09,2023-10-01T15:41:29.620000,9.8,,4
-124.4385,40.501,4.22,2023-09-30T17:16:47.830000,29.09,,5
-124.2886667,40.5588333,4.65,2023-09-30T15:26:26.760000,17.88,,6
-124.2343333,40.3183333,4.07,2023-08-17T21:08:00.860000,31.93,,7
-124.3725,40.5415,4.54,2023-03-21T23:18:19.630000,18.1,,8
-123.8753333,41.128,4.26,2023-01-20T08:01:14.570000,25.27,,9
-123.971,40.409,5.35,2023-01-01T18:35:04.510000,30.63,,10
-124.0083333,40.5571667,4.16,2022-12-24T19:33:44.190000,22.4,,11
-124.3291667,40.5455,4.35,2022-12-20T22:06:34.380000,19.74,,12
-124.1881667,40.5228333,4.92,2022-12-20T10:39:02.360000,26.55,,13
-124.423,40.525,6.4,2022-12-20T10:34:24.770000,17.91,,14
-126.0923,49.2714,4.9,2022-11-26T03:50:17.526000,33.38,,15
-124.14,40.5781667,4.1,2022-10-23T18:16:23.050000,28.35,,16
-123.5185,40.3495,4.32,2022-10-20T07:55:16.770000,33.05,,17
-122.55083333333332,44.540333333333336,4.39,2022-10-07T12:52:36.010000,13.17,,18
-124.2101667,40.4871667,4.07,2022-04-04T15:16:46.240000,21.4,,19
-124.298,40.3901667,6.2,2021-12-20T20:10:31.310000,27.04,,20
-124.2553333,40.363,4.38,2021-11-03T00:24:51.300000,29.6,,21
-124.3813333,40.2705,4.47,2021-09-09T21:57:56.520000,32.83,,22
-124.4008333,40.2815,4.0,2021-08-31T08:01:11.180000,32.36,,23
-124.4131667,40.2773333,4.35,2021-07-21T10:05:30.050000,35.38,,24
-124.4255,40.3235,5.12,2021-07-18T06:46:12.650000,30.91,,25
-123.5988333,40.188,4.03,2021-04-20T09:48:34.270000,33.89,,26
-124.562,40.4538333,4.17,2020-05-19T15:58:31.620000,23.64,,27
-127.6367,49.5422,4.8,2020-05-10T04:46:01.644000,10.0,,28
-124.4561667,40.3475,5.21,2020-03-18T22:08:20.920000,28.61,,29
-125.1845,48.5488,4.5,2020-01-24T21:35:29.100000,10.0,,30
-124.3633333,40.2758333,4.06,2019-12-19T15:30:12.980000,21.4,,31
-124.476666666667,42.776,4.53,2019-11-30T01:45:12.620000,16.65,,32
-122.016333333333,47.8728333333333,4.58,2019-07-12T09:51:38.340000,28.82,,33
-124.3003333,40.2735,5.58,2019-06-23T03:53:02.890000,9.44,,34
-124.4655,40.4288333,4.19,2019-03-29T04:55:25.890000,27.8,,35
-123.8395,40.8465,4.39,2019-02-06T18:23:01.570000,25.83,,36
-124.4965,40.307,4.19,2019-02-03T23:43:21.810000,7.66,,37
-124.4946667,40.3006667,4.3,2019-02-02T10:52:21.990000,6.44,,38
-124.4723333,40.3216667,4.08,2019-01-15T20:20:20.120000,7.09,,39
-123.55416666666666,47.711333333333336,4.08,2018-11-19T11:09:13.130000,39.42,,40
-124.5108333,40.4278333,4.66,2018-03-23T03:09:39.100000,25.19,,41
-124.3891667,40.7513333,4.42,2018-03-22T16:24:49.560000,24.52,,42
-127.3301,49.8138,4.1,2018-03-06T09:38:26.420000,10.0,,43
-124.2988333,40.2878333,4.03,2017-06-24T21:22:03.060000,9.14,,44
-123.035,47.4801667,4.09,2017-02-23T04:59:04.050000,15.44,,45
-127.814,49.772,4.0,2017-01-31T01:38:28,40.8,,46
-124.386,40.2785,4.35,2016-12-05T18:33:15.480000,22.1,,47
-124.5465,40.3461667,4.11,2016-10-27T06:37:23.630000,23.97,,48
-123.4078333,40.4365,4.49,2016-08-28T21:20:52.090000,35.62,,49
-123.8918333,40.7243333,4.81,2016-07-21T23:09:05.780000,26.24,,50
-124.3395,40.2731667,4.31,2016-01-07T05:49:52.430000,16.95,,51
-123.3003333,48.5865,4.79,2015-12-30T07:39:29.310000,52.42,,52
-122.831,44.0895,4.14,2015-07-04T15:42:18.050000,7.95,,53
-124.712,40.6508333,4.34,2015-05-26T10:17:35.820000,19.72,,54
-125.647,49.1709,4.8,2015-01-08T02:02:53.840000,24.64,,55
-124.3726667,40.2673333,4.24,2014-10-19T14:24:04.460000,22.329,,56
