lon,lat,mag,time_string,depth,catalog_id,event_id
-70.498539,-23.435868,8.0,1995-07-30T00:00:00,32.7077,,12978.0
-70.648403,-26.485849,4.3,2001-08-01T00:00:00,77.7518,,23500.0
-69.467293,-26.229782,4.5,2001-08-04T00:00:00,18.3259,,23511.0
-66.818977,-24.22308,4.8,2001-10-12T00:00:00,144.1626,,23793.0
-69.185699,-23.132353,4.2,2002-04-09T00:00:00,92.7073,,25588.0
-70.663458,-23.500788,4.4,2002-04-30T00:00:00,22.975,,25782.0
-71.142345,-26.768162,4.6,2002-05-05T00:00:00,28.6639,,25832.0
-69.34456,-24.398422,4.7,2002-08-02T00:00:00,53.6577,,26509.0
-70.557275,-26.631235,5.4,2003-04-09T00:00:00,60.9997,,28601.0
-70.228425,-24.141117,5.2,2003-04-24T00:00:00,29.8013,,28728.0
-70.940049,-26.738685,4.3,2003-08-09T00:00:00,65.2827,,30409.0
-69.455376,-25.996747,4.9,2003-09-25T00:00:00,136.8285,,30923.0
-69.346057,-24.372556,4.7,2003-10-15T00:00:00,28.6466,,31129.0
-66.954334,-24.145107,4.5,2004-03-27T00:00:00,142.783,,32555.0
-67.873532,-25.282188,5.4,2004-03-31T00:00:00,123.9209,,32583.0
-70.109144,-26.674526,4.3,2004-04-24T00:00:00,59.1662,,32791.0
-67.012565,-24.100557,5.3,2004-05-06T00:00:00,206.0706,,32882.0
-70.430435,-24.615854,4.3,2004-05-09T00:00:00,52.2811,,32919.0
-66.452814,-22.733261,4.6,2004-06-03T00:00:00,257.9137,,33140.0
-66.802915,-24.254815,4.7,2004-06-17T00:00:00,4.6179,,33249.0
-67.289134,-24.367736,4.1,2004-06-22T00:00:00,15.1053,,33284.0
-70.72493,-25.90355,4.1,2004-07-12T00:00:00,87.4668,,33448.0
-69.152301,-25.034901,5.2,2004-09-23T00:00:00,61.8347,,34262.0
-67.406008,-23.863941,4.8,2004-09-28T00:00:00,254.2909,,34310.0
-68.816206,-22.290769,5.1,2004-10-03T00:00:00,115.0522,,34357.0
-69.055292,-26.007798,4.4,2004-10-20T00:00:00,100.625,,34524.0
-70.475352,-23.936842,4.1,2004-10-21T00:00:00,81.4864,,34531.0
-66.821505,-23.922784,4.2,2004-10-31T00:00:00,197.797,,34641.0
-71.354861,-25.884475,4.0,2004-10-31T00:00:00,5.2131,,34642.0
-66.272522,-22.555813,4.4,2004-11-01T00:00:00,252.1113,,34650.0
-69.954517,-22.84616,4.9,2004-11-11T00:00:00,73.3778,,34724.0
-70.215201,-25.604882,4.1,2004-11-20T00:00:00,18.782,,34803.0
-68.254405,-23.04382,5.3,2004-11-23T00:00:00,123.2645,,34821.0
-70.39424,-22.99638,4.5,2004-11-29T00:00:00,39.4552,,34864.0
-70.475174,-26.256971,5.0,2004-12-25T00:00:00,45.4099,,35114.0
-70.285142,-25.722996,4.2,2004-12-31T00:00:00,49.1564,,35176.0
-67.212835,-24.48267,4.9,2005-01-07T00:00:00,190.9061,,35236.0
-67.213695,-23.938154,5.2,2005-01-11T00:00:00,193.8438,,35262.0
-69.094504,-22.073979,5.4,2005-01-20T00:00:00,92.0048,,35329.0
-66.886221,-23.471002,5.2,2005-02-01T00:00:00,189.1729,,35421.0
-66.891709,-24.155358,4.6,2005-02-10T00:00:00,199.7632,,35479.0
-66.966249,-24.109896,4.3,2005-02-16T00:00:00,218.9463,,35519.0
-66.453422,-23.046034,4.7,2005-02-16T00:00:00,233.9107,,35523.0
-66.773336,-24.140366,5.5,2005-03-01T00:00:00,199.4239,,35599.0
-69.032858,-25.104645,4.1,2005-03-06T00:00:00,75.7933,,35637.0
-66.929126,-24.318591,5.4,2005-03-15T00:00:00,164.6846,,35712.0
-67.251093,-24.191061,4.5,2005-03-21T00:00:00,199.214,,35753.0
-68.983938,-20.427609,5.2,2005-03-25T00:00:00,58.062,,35782.0
-67.293768,-24.285299,5.3,2005-03-27T00:00:00,195.9017,,35798.0
-69.196292,-25.446035,4.0,2005-04-02T00:00:00,110.4065,,35842.0
-69.127147,-25.274553,4.0,2005-04-02T00:00:00,116.6793,,35843.0
-70.756808,-25.21662,5.3,2005-04-02T00:00:00,1.3949,,35846.0
-67.224685,-24.104597,4.6,2005-04-05T00:00:00,203.0582,,35866.0
-68.891753,-24.392968,4.2,2005-04-05T00:00:00,106.834,,35872.0
-69.217585,-25.123315,4.3,2005-04-09T00:00:00,110.0472,,35904.0
-67.192833,-24.141498,5.1,2005-04-15T00:00:00,206.7923,,35960.0
-67.257968,-23.859232,4.1,2005-04-29T00:00:00,200.0995,,36073.0
-69.256771,-26.149657,4.0,2005-04-29T00:00:00,114.0263,,36074.0
-66.331558,-23.007447,4.2,2005-05-01T00:00:00,244.0074,,36086.0
-66.935001,-24.169422,4.7,2005-05-02T00:00:00,205.7689,,36099.0
-67.085196,-24.318147,4.6,2005-05-02T00:00:00,220.7515,,36102.0
-67.909708,-23.449084,4.1,2005-05-10T00:00:00,124.0527,,36156.0
-67.154604,-24.158919,4.3,2005-05-23T00:00:00,188.5369,,36226.0
-67.201467,-24.252052,4.4,2005-05-25T00:00:00,191.6717,,36243.0
-67.276303,-24.403292,4.3,2005-06-02T00:00:00,177.2455,,36321.0
-67.150016,-24.344477,6.2,2005-06-02T00:00:00,191.6605,,36322.0
-69.177261,-19.870699,4.1,2005-06-20T00:00:00,96.9067,,36481.0
-69.123307,-19.179136,4.6,2005-06-20T00:00:00,115.6712,,36491.0
-69.19366,-19.705543,4.1,2005-06-20T00:00:00,104.3249,,36492.0
-69.15572,-19.847548,4.0,2005-06-20T00:00:00,100.5443,,36497.0
-69.161278,-20.043559,4.7,2005-06-21T00:00:00,94.0348,,36511.0
-69.296264,-19.726662,4.1,2005-06-21T00:00:00,97.0814,,36512.0
-69.134831,-19.830841,4.6,2005-06-21T00:00:00,102.5627,,36514.0
-69.133018,-20.150368,5.5,2005-06-21T00:00:00,98.1519,,36520.0
-69.932741,-22.606471,4.6,2005-06-21T00:00:00,30.0253,,36530.0
-69.142313,-19.803175,4.9,2005-06-22T00:00:00,97.9967,,36538.0
-69.159767,-20.024888,4.3,2005-06-23T00:00:00,94.4735,,36549.0
-69.170166,-20.008021,4.0,2005-06-23T00:00:00,94.3014,,36551.0
-69.164887,-20.111801,4.2,2005-06-23T00:00:00,95.9909,,36556.0
-69.270592,-20.034125,4.0,2005-06-23T00:00:00,100.201,,36559.0
-69.129579,-20.106608,4.3,2005-06-23T00:00:00,95.871,,36562.0
-69.183855,-20.164601,4.2,2005-06-24T00:00:00,98.7753,,36566.0
-69.151925,-19.994779,4.1,2005-06-24T00:00:00,93.3034,,36570.0
-69.13538,-20.152032,4.2,2005-06-24T00:00:00,98.1737,,36573.0
-69.238679,-19.822493,4.0,2005-06-24T00:00:00,100.143,,36575.0
-69.241398,-19.827713,4.5,2005-06-24T00:00:00,100.7833,,36576.0
-68.824957,-20.922928,4.1,2005-06-24T00:00:00,97.1874,,36578.0
-69.177196,-20.024096,4.4,2005-06-24T00:00:00,98.6982,,36579.0
-69.332009,-19.812149,4.8,2005-06-24T00:00:00,98.5852,,36580.0
-69.258106,-19.98726,4.2,2005-06-25T00:00:00,103.5222,,36582.0
-69.244452,-20.177054,4.0,2005-06-25T00:00:00,96.2471,,36583.0
-69.162371,-20.010309,4.5,2005-06-26T00:00:00,96.6721,,36605.0
-69.084918,-24.813264,4.4,2005-06-26T00:00:00,95.0263,,36607.0
-69.188728,-19.986332,4.8,2005-06-26T00:00:00,97.5056,,36608.0
