lon,lat,mag,time_string,depth,catalog_id,event_id
-98.44,18.97,4.1,1998-01-01T00:00:00,5.0,,1.0
-97.75,16.03,4.1,1998-01-02T00:00:00,6.0,,2.0
-101.21,18.38,4.1,1998-01-02T00:00:00,61.0,,3.0
-93.76,17.18,4.7,1998-01-03T00:00:00,205.0,,5.0
-101.1,17.32,4.0,1998-01-04T00:00:00,11.0,,8.0
-98.69,15.95,4.0,1998-01-04T00:00:00,16.0,,9.0
-97.63,16.13,4.2,1998-01-04T00:00:00,5.0,,11.0
-100.86,17.08,4.3,1998-01-07T00:00:00,3.0,,17.0
-95.59,16.52,4.0,1998-01-11T00:00:00,188.0,,26.0
-93.91,17.24,4.2,1998-01-11T00:00:00,182.0,,29.0
-99.07,16.23,4.1,1998-01-13T00:00:00,16.0,,37.0
-94.62,17.09,4.0,1998-01-18T00:00:00,126.0,,50.0
-100.88,17.03,4.0,1998-01-19T00:00:00,26.0,,53.0
-97.59,16.28,4.0,1998-01-19T00:00:00,3.0,,56.0
-94.67,16.61,4.0,1998-01-20T00:00:00,122.0,,57.0
-95.7,15.87,4.7,1998-01-27T00:00:00,63.0,,77.0
-99.89,16.78,4.0,1998-01-27T00:00:00,28.0,,78.0
-97.93,16.12,4.2,1998-01-28T00:00:00,10.0,,80.0
-94.3,15.91,4.5,1998-01-30T00:00:00,35.0,,85.0
-94.74,17.06,4.3,1998-01-31T00:00:00,136.0,,86.0
-97.65,16.18,4.0,1998-01-31T00:00:00,8.0,,87.0
-102.69,18.49,4.1,1998-02-01T00:00:00,26.0,,92.0
-95.35,16.71,4.0,1998-02-02T00:00:00,125.0,,96.0
-96.37,15.69,6.4,1998-02-02T00:00:00,33.0,,97.0
-96.98,15.75,4.0,1998-02-02T00:00:00,23.0,,99.0
-96.55,15.86,4.3,1998-02-02T00:00:00,3.0,,100.0
-96.31,16.71,4.4,1998-02-02T00:00:00,180.0,,101.0
-95.93,16.01,4.3,1998-02-02T00:00:00,6.0,,102.0
-96.21,15.74,4.0,1998-02-02T00:00:00,23.0,,103.0
-97.13,15.94,4.0,1998-02-02T00:00:00,16.0,,104.0
-96.12,15.59,4.1,1998-02-02T00:00:00,16.0,,105.0
-96.24,15.73,4.0,1998-02-02T00:00:00,17.0,,106.0
-96.35,15.69,4.0,1998-02-02T00:00:00,16.0,,107.0
-96.13,15.66,4.2,1998-02-02T00:00:00,21.0,,108.0
-96.32,15.58,4.2,1998-02-03T00:00:00,16.0,,109.0
-96.6,15.84,4.9,1998-02-03T00:00:00,1.0,,110.0
-96.71,15.77,4.0,1998-02-03T00:00:00,16.0,,114.0
-96.71,15.91,4.5,1998-02-03T00:00:00,8.0,,116.0
-96.5,15.93,4.1,1998-02-03T00:00:00,9.0,,117.0
-96.45,15.64,4.5,1998-02-04T00:00:00,17.0,,120.0
-96.51,15.6,4.3,1998-02-04T00:00:00,16.0,,121.0
-96.31,15.63,4.0,1998-02-04T00:00:00,41.0,,123.0
-96.38,15.72,4.4,1998-02-04T00:00:00,59.0,,124.0
-96.29,15.54,4.1,1998-02-04T00:00:00,17.0,,125.0
-94.56,16.73,4.2,1998-02-04T00:00:00,79.0,,126.0
-98.08,16.07,4.3,1998-02-05T00:00:00,5.0,,129.0
-96.19,15.79,4.4,1998-02-06T00:00:00,50.0,,134.0
-102.72,18.98,4.4,1998-02-06T00:00:00,96.0,,137.0
-96.27,15.8,4.6,1998-02-07T00:00:00,36.0,,138.0
-95.94,16.03,4.1,1998-02-07T00:00:00,3.0,,139.0
-96.4,15.69,4.5,1998-02-07T00:00:00,10.0,,141.0
-96.47,15.62,4.5,1998-02-07T00:00:00,30.0,,143.0
-96.43,15.7,4.0,1998-02-08T00:00:00,1.0,,144.0
-100.95,17.28,4.0,1998-02-08T00:00:00,18.0,,145.0
-96.7,15.79,4.1,1998-02-08T00:00:00,16.0,,146.0
-96.18,15.7,4.2,1998-02-10T00:00:00,47.0,,150.0
-96.43,15.68,4.4,1998-02-11T00:00:00,16.0,,152.0
-97.61,16.01,4.3,1998-02-12T00:00:00,16.0,,154.0
-93.92,17.01,4.1,1998-02-13T00:00:00,184.0,,156.0
-96.44,15.63,4.1,1998-02-17T00:00:00,17.0,,161.0
-96.38,15.78,4.0,1998-02-19T00:00:00,55.0,,167.0
-101.37,17.19,4.4,1998-02-22T00:00:00,14.0,,169.0
-103.12,18.65,4.0,1998-02-22T00:00:00,73.0,,171.0
-96.01,16.21,4.2,1998-02-24T00:00:00,66.0,,175.0
-101.18,17.2,4.8,1998-02-25T00:00:00,15.0,,177.0
-99.47,16.3,4.3,1998-02-26T00:00:00,16.0,,181.0
-99.44,16.4,4.1,1998-02-26T00:00:00,16.0,,182.0
-96.74,15.43,4.1,1998-02-27T00:00:00,17.0,,184.0
-101.83,17.48,4.4,1998-02-27T00:00:00,2.0,,185.0
-99.48,16.86,4.2,1998-03-01T00:00:00,27.0,,186.0
-98.61,16.2,4.6,1998-03-01T00:00:00,3.0,,187.0
-98.57,16.0,4.4,1998-03-01T00:00:00,10.0,,188.0
-98.64,16.18,4.0,1998-03-01T00:00:00,15.0,,189.0
-98.61,15.91,4.0,1998-03-01T00:00:00,16.0,,190.0
-98.62,16.07,4.0,1998-03-01T00:00:00,5.0,,191.0
-94.66,17.46,4.2,1998-03-02T00:00:00,170.0,,193.0
-104.3,20.7,4.2,1998-03-02T00:00:00,17.0,,195.0
-96.08,15.63,4.1,1998-03-02T00:00:00,5.0,,199.0
-96.47,15.71,5.2,1998-03-03T00:00:00,12.0,,200.0
-96.48,15.64,4.4,1998-03-03T00:00:00,16.0,,201.0
-105.8,20.29,4.1,1998-03-03T00:00:00,58.0,,204.0
-94.91,17.28,4.3,1998-03-04T00:00:00,129.0,,206.0
-106.3,20.41,4.0,1998-03-04T00:00:00,38.0,,207.0
-104.38,20.77,4.0,1998-03-04T00:00:00,58.0,,209.0
-98.43,16.05,5.3,1998-03-04T00:00:00,5.0,,212.0
-98.52,16.07,4.2,1998-03-05T00:00:00,5.0,,218.0
-100.25,16.85,4.3,1998-03-05T00:00:00,9.0,,219.0
-104.37,20.67,4.9,1998-03-05T00:00:00,6.0,,220.0
-104.33,20.7,4.3,1998-03-05T00:00:00,87.0,,221.0
-104.28,20.57,4.1,1998-03-06T00:00:00,68.0,,222.0
-104.36,20.82,4.2,1998-03-06T00:00:00,16.0,,223.0
-103.65,17.98,4.5,1998-03-07T00:00:00,4.0,,228.0
-98.48,16.08,4.1,1998-03-07T00:00:00,16.0,,229.0
-103.49,17.91,4.6,1998-03-08T00:00:00,76.0,,230.0
-97.52,15.62,4.4,1998-03-09T00:00:00,36.0,,232.0
-96.43,15.77,4.0,1998-03-09T00:00:00,50.0,,234.0
-98.0,16.1,4.3,1998-03-11T00:00:00,4.0,,238.0
-102.06,18.57,4.2,1998-03-11T00:00:00,12.0,,239.0
-100.11,17.01,4.2,1998-03-11T00:00:00,40.0,,240.0
-104.11,18.67,4.3,1998-03-12T00:00:00,5.0,,243.0
-97.85,16.08,4.0,1998-03-12T00:00:00,5.0,,248.0
-97.4,17.43,4.2,1998-03-13T00:00:00,67.0,,252.0
-102.9,18.08,4.7,1998-03-13T00:00:00,5.0,,253.0
-98.27,15.96,4.0,1998-03-14T00:00:00,5.0,,255.0
-100.26,19.5,4.2,1998-03-14T00:00:00,5.0,,256.0
-98.26,15.92,4.2,1998-03-14T00:00:00,5.0,,257.0
-98.29,15.95,4.4,1998-03-15T00:00:00,5.0,,258.0
-98.33,15.94,4.1,1998-03-15T00:00:00,15.0,,261.0
-94.08,17.04,4.8,1998-03-15T00:00:00,159.0,,264.0
-97.41,16.14,4.3,1998-03-16T00:00:00,16.0,,265.0
-98.27,15.88,4.2,1998-03-17T00:00:00,6.0,,266.0
-98.37,16.31,4.1,1998-03-17T00:00:00,10.0,,268.0
-95.69,17.16,4.0,1998-03-17T00:00:00,165.0,,272.0
-100.04,16.83,4.0,1998-03-17T00:00:00,37.0,,275.0
-99.23,20.1,4.3,1998-03-18T00:00:00,5.0,,276.0
-98.06,16.21,4.0,1998-03-19T00:00:00,5.0,,282.0
-103.44,18.06,4.1,1998-03-19T00:00:00,30.0,,283.0
-98.54,19.1,4.1,1998-03-21T00:00:00,4.0,,286.0
-101.22,18.42,4.2,1998-03-22T00:00:00,83.0,,288.0
-97.04,16.0,4.2,1998-03-25T00:00:00,16.0,,301.0
-101.49,17.37,4.4,1998-03-26T00:00:00,5.0,,306.0
-96.06,15.87,4.1,1998-03-26T00:00:00,48.0,,308.0
-95.1,17.15,4.4,1998-03-29T00:00:00,111.0,,311.0
-98.35,16.04,4.3,1998-03-29T00:00:00,16.0,,313.0
-100.2,16.96,4.1,1998-03-29T00:00:00,28.0,,315.0
-95.86,16.03,4.5,1998-03-31T00:00:00,16.0,,318.0
-104.04,19.45,4.1,1998-04-02T00:00:00,89.0,,325.0
-96.1,15.44,4.2,1998-04-03T00:00:00,16.0,,327.0
-95.78,15.91,5.0,1998-04-07T00:00:00,13.0,,333.0
-95.32,18.26,4.2,1998-04-08T00:00:00,33.0,,336.0
-96.86,15.63,4.3,1998-04-10T00:00:00,5.0,,340.0
-99.45,16.25,4.3,1998-04-11T00:00:00,12.0,,341.0
-100.7,17.33,4.0,1998-04-11T00:00:00,30.0,,342.0
-98.29,16.08,4.1,1998-04-13T00:00:00,1.0,,345.0
-98.29,16.09,4.6,1998-04-13T00:00:00,16.0,,346.0
-104.53,19.29,4.0,1998-04-13T00:00:00,16.0,,348.0
-95.39,15.84,4.4,1998-04-16T00:00:00,63.0,,351.0
-95.5,15.47,4.5,1998-04-17T00:00:00,2.0,,352.0
-105.23,19.45,4.2,1998-04-19T00:00:00,3.0,,355.0
-98.32,15.79,4.3,1998-04-20T00:00:00,4.0,,356.0
-98.5,15.96,4.4,1998-04-20T00:00:00,16.0,,359.0
-101.21,18.37,5.9,1998-04-20T00:00:00,66.0,,360.0
-94.75,17.02,4.1,1998-04-21T00:00:00,82.0,,363.0
-98.6,19.05,4.0,1998-04-21T00:00:00,2.0,,364.0
-98.4,16.03,4.3,1998-04-23T00:00:00,5.0,,365.0
-94.14,17.72,5.0,1998-04-25T00:00:00,47.0,,366.0
-102.96,17.97,4.1,1998-04-26T00:00:00,111.0,,370.0
-94.94,16.98,4.2,1998-04-26T00:00:00,111.0,,371.0
-98.51,19.04,4.0,1998-04-27T00:00:00,2.0,,373.0
-95.06,17.21,4.6,1998-05-01T00:00:00,15.0,,380.0
-96.81,17.28,4.4,1998-05-01T00:00:00,91.0,,381.0
-94.97,17.1,4.3,1998-05-05T00:00:00,16.0,,393.0
-98.05,16.02,4.3,1998-05-05T00:00:00,5.0,,394.0
-102.06,17.65,4.0,1998-05-06T00:00:00,9.0,,396.0
-103.65,19.47,4.1,1998-05-07T00:00:00,19.0,,397.0
-98.51,16.39,4.3,1998-05-07T00:00:00,23.0,,398.0
-101.41,17.34,5.2,1998-05-09T00:00:00,18.0,,402.0
-101.36,17.27,4.3,1998-05-09T00:00:00,7.0,,403.0
-101.54,17.35,4.0,1998-05-10T00:00:00,14.0,,406.0
-100.42,18.27,4.0,1998-05-11T00:00:00,28.0,,409.0
-97.99,16.32,4.0,1998-05-11T00:00:00,4.0,,410.0
-101.15,18.41,4.2,1998-05-11T00:00:00,5.0,,412.0
-99.7,17.38,4.2,1998-05-15T00:00:00,55.0,,421.0
-98.3,16.08,4.4,1998-05-15T00:00:00,16.0,,422.0
-94.79,17.57,4.2,1998-05-15T00:00:00,156.0,,423.0
-101.35,17.25,5.3,1998-05-16T00:00:00,14.0,,424.0
-101.31,17.21,4.2,1998-05-16T00:00:00,5.0,,425.0
-101.48,17.2,4.5,1998-05-16T00:00:00,5.0,,426.0
-102.83,18.08,4.5,1998-05-17T00:00:00,78.0,,427.0
-98.02,16.5,4.1,1998-05-17T00:00:00,11.0,,428.0
-101.31,17.18,4.5,1998-05-17T00:00:00,12.0,,429.0
-98.29,16.03,4.3,1998-05-18T00:00:00,8.0,,431.0
-98.38,16.01,4.0,1998-05-19T00:00:00,12.0,,433.0
-94.5,15.72,4.6,1998-05-19T00:00:00,34.0,,435.0
-94.38,16.05,4.5,1998-05-20T00:00:00,57.0,,436.0
-100.69,16.99,4.3,1998-05-21T00:00:00,2.0,,437.0
-94.38,16.44,4.5,1998-05-23T00:00:00,100.0,,438.0
-100.7,17.05,4.1,1998-05-23T00:00:00,3.0,,439.0
-94.94,15.77,4.4,1998-05-24T00:00:00,47.0,,442.0
-94.56,16.96,4.4,1998-05-25T00:00:00,134.0,,443.0
-101.47,17.49,4.4,1998-05-25T00:00:00,7.0,,445.0
-94.56,15.72,4.3,1998-05-30T00:00:00,34.0,,449.0
-100.51,16.9,4.1,1998-05-31T00:00:00,5.0,,451.0
-94.97,15.51,4.2,1998-05-31T00:00:00,89.0,,454.0
-100.14,16.83,4.8,1998-06-01T00:00:00,5.0,,455.0
-98.82,16.02,4.0,1998-06-01T00:00:00,9.0,,459.0
-95.05,15.35,4.1,1998-06-03T00:00:00,102.0,,463.0
-100.49,19.87,4.0,1998-06-06T00:00:00,3.0,,469.0
-100.48,19.99,4.2,1998-06-07T00:00:00,5.0,,474.0
-100.43,19.94,4.0,1998-06-07T00:00:00,9.0,,475.0
-95.27,15.93,4.3,1998-06-08T00:00:00,91.0,,476.0
-100.5,20.0,4.1,1998-06-09T00:00:00,12.0,,480.0
-100.75,16.65,4.1,1998-06-11T00:00:00,5.0,,485.0
-98.53,16.21,4.1,1998-06-13T00:00:00,33.0,,491.0
-96.53,15.7,4.2,1998-06-15T00:00:00,16.0,,493.0
-101.51,17.34,4.1,1998-06-16T00:00:00,5.0,,497.0
-102.28,18.81,4.3,1998-06-17T00:00:00,36.0,,502.0
-97.04,16.97,4.0,1998-06-19T00:00:00,55.0,,508.0
-103.16,18.0,4.0,1998-06-19T00:00:00,20.0,,509.0
-98.58,16.11,4.3,1998-06-19T00:00:00,5.0,,513.0
-95.21,16.96,4.8,1998-06-20T00:00:00,115.0,,516.0
-103.83,18.25,4.1,1998-06-23T00:00:00,5.0,,529.0
-95.67,16.06,4.1,1998-06-24T00:00:00,78.0,,530.0
-101.26,17.43,4.0,1998-06-25T00:00:00,5.0,,532.0
-100.89,17.41,4.0,1998-06-27T00:00:00,11.0,,537.0
-102.41,17.99,4.1,1998-06-27T00:00:00,52.0,,538.0
-99.08,16.0,4.3,1998-07-01T00:00:00,16.0,,541.0
-98.42,16.52,4.0,1998-07-04T00:00:00,24.0,,545.0
-100.12,16.83,5.2,1998-07-05T00:00:00,5.0,,547.0
-100.19,16.78,4.3,1998-07-05T00:00:00,5.0,,548.0
-100.11,16.99,4.2,1998-07-06T00:00:00,33.0,,555.0
-100.19,16.85,4.2,1998-07-06T00:00:00,3.0,,557.0
-98.76,17.52,4.0,1998-07-08T00:00:00,69.0,,566.0
-97.02,16.07,4.1,1998-07-10T00:00:00,16.0,,569.0
-96.36,16.1,4.3,1998-07-10T00:00:00,55.0,,570.0
-101.54,17.25,5.4,1998-07-11T00:00:00,5.0,,571.0
-101.58,17.27,4.3,1998-07-11T00:00:00,5.0,,572.0
-101.37,16.89,4.3,1998-07-11T00:00:00,16.0,,573.0
-101.07,17.34,4.0,1998-07-11T00:00:00,41.0,,574.0
-100.44,16.83,5.4,1998-07-12T00:00:00,4.0,,576.0
-100.48,16.8,4.1,1998-07-12T00:00:00,5.0,,578.0
-100.39,16.86,4.2,1998-07-12T00:00:00,3.0,,579.0
-100.44,16.92,4.0,1998-07-12T00:00:00,5.0,,581.0
-99.73,17.77,4.1,1998-07-16T00:00:00,4.0,,591.0
-100.16,16.98,4.6,1998-07-17T00:00:00,27.0,,593.0
-100.09,17.03,4.0,1998-07-17T00:00:00,15.0,,595.0
-100.67,16.71,4.1,1998-07-17T00:00:00,6.0,,596.0
-98.19,16.21,4.0,1998-07-20T00:00:00,8.0,,600.0
-94.31,16.54,4.3,1998-07-21T00:00:00,100.0,,601.0
-101.33,17.2,4.2,1998-07-21T00:00:00,48.0,,603.0
-96.44,15.65,4.4,1998-07-21T00:00:00,55.0,,604.0
-98.04,16.35,4.4,1998-07-23T00:00:00,8.0,,606.0
-98.01,16.25,4.0,1998-07-23T00:00:00,5.0,,607.0
-96.8,15.58,4.3,1998-07-24T00:00:00,25.0,,609.0
-98.29,16.05,4.0,1998-07-25T00:00:00,5.0,,612.0
-94.66,16.98,4.3,1998-07-26T00:00:00,191.0,,615.0
-101.68,17.42,4.7,1998-07-26T00:00:00,2.0,,617.0
-102.54,18.02,4.1,1998-07-27T00:00:00,16.0,,619.0
-101.2,17.19,4.2,1998-07-29T00:00:00,16.0,,621.0
-94.92,17.36,4.0,1998-08-03T00:00:00,197.0,,627.0
-100.26,17.97,4.6,1998-08-05T00:00:00,53.0,,631.0
-99.81,16.69,4.0,1998-08-06T00:00:00,7.0,,632.0
-100.25,16.87,4.5,1998-08-09T00:00:00,3.0,,636.0
-94.94,16.92,4.0,1998-08-10T00:00:00,184.0,,638.0
-97.6,16.28,4.0,1998-08-13T00:00:00,54.0,,642.0
-94.64,16.0,4.2,1998-08-14T00:00:00,170.0,,645.0
-94.91,16.02,4.2,1998-08-15T00:00:00,140.0,,647.0
-94.72,17.25,4.0,1998-08-16T00:00:00,159.0,,649.0
-103.28,18.17,4.1,1998-08-18T00:00:00,16.0,,654.0
-98.05,16.31,4.4,1998-08-19T00:00:00,11.0,,658.0
-96.02,15.34,4.5,1998-08-20T00:00:00,7.0,,661.0
-99.84,17.14,4.4,1998-08-24T00:00:00,20.0,,670.0
-95.37,16.75,4.0,1998-08-26T00:00:00,161.0,,673.0
-95.02,17.45,4.0,1998-08-28T00:00:00,172.0,,676.0
-103.11,18.22,4.4,1998-08-28T00:00:00,5.0,,677.0
-94.17,16.81,4.1,1998-08-28T00:00:00,112.0,,680.0
-94.96,15.24,4.1,1998-08-29T00:00:00,30.0,,681.0
-96.77,15.42,4.0,1998-08-30T00:00:00,6.0,,683.0
-95.23,17.3,4.0,1998-08-31T00:00:00,173.0,,686.0
-98.42,15.97,4.5,1998-08-31T00:00:00,5.0,,688.0
-96.71,15.45,4.0,1998-09-01T00:00:00,13.0,,690.0
-93.69,17.08,4.0,1998-09-02T00:00:00,108.0,,693.0
-99.99,16.41,4.2,1998-09-04T00:00:00,3.0,,700.0
-98.78,16.71,4.0,1998-09-05T00:00:00,16.0,,702.0
-99.67,16.77,4.1,1998-09-07T00:00:00,12.0,,710.0
-94.06,17.4,4.3,1998-09-09T00:00:00,207.0,,714.0
-96.37,16.11,4.4,1998-09-13T00:00:00,36.0,,724.0
-95.99,15.39,4.3,1998-09-16T00:00:00,9.0,,726.0
-95.23,17.0,4.5,1998-09-16T00:00:00,77.0,,727.0
-94.81,16.76,4.4,1998-09-18T00:00:00,115.0,,732.0
-100.39,16.93,4.0,1998-09-19T00:00:00,5.0,,734.0
-98.56,19.01,4.0,1998-09-21T00:00:00,7.0,,740.0
-98.54,19.1,4.0,1998-09-22T00:00:00,1.0,,744.0
-98.06,16.24,4.3,1998-09-23T00:00:00,5.0,,745.0
-98.8,16.74,4.0,1998-09-26T00:00:00,41.0,,756.0
-94.97,15.26,4.0,1998-09-28T00:00:00,5.0,,762.0
-99.12,16.46,4.2,1998-09-30T00:00:00,27.0,,768.0
-99.28,17.08,4.0,1998-10-06T00:00:00,49.0,,779.0
-98.95,16.18,4.3,1998-10-06T00:00:00,16.0,,782.0
-101.34,16.94,4.3,1998-10-08T00:00:00,26.0,,785.0
-101.71,17.84,4.0,1998-10-08T00:00:00,9.0,,787.0
-103.07,18.23,4.0,1998-10-10T00:00:00,52.0,,792.0
-97.72,16.19,4.0,1998-10-10T00:00:00,4.0,,794.0
-94.73,17.6,4.0,1998-10-11T00:00:00,165.0,,795.0
-97.23,16.09,4.0,1998-10-13T00:00:00,8.0,,798.0
-95.23,17.13,4.0,1998-10-13T00:00:00,109.0,,799.0
-101.13,18.49,4.2,1998-10-13T00:00:00,53.0,,800.0
-94.31,16.94,4.1,1998-10-16T00:00:00,155.0,,810.0
-97.58,16.03,4.0,1998-10-18T00:00:00,16.0,,816.0
-95.6,15.18,4.0,1998-10-20T00:00:00,5.0,,827.0
-93.89,17.21,4.2,1998-10-22T00:00:00,94.0,,834.0
-94.01,16.12,4.2,1998-10-23T00:00:00,11.0,,835.0
-100.97,17.96,4.2,1998-10-24T00:00:00,86.0,,837.0
-101.03,17.89,4.3,1998-10-25T00:00:00,39.0,,844.0
-94.93,15.8,4.4,1998-10-28T00:00:00,25.0,,847.0
-100.56,17.63,4.1,1998-11-01T00:00:00,51.0,,860.0
-99.45,16.19,4.0,1998-11-01T00:00:00,16.0,,861.0
-101.21,17.35,4.4,1998-11-05T00:00:00,4.0,,876.0
-98.12,15.98,4.3,1998-11-06T00:00:00,4.0,,882.0
-95.58,15.55,4.9,1998-11-07T00:00:00,7.0,,884.0
-95.68,15.45,4.3,1998-11-07T00:00:00,44.0,,887.0
-95.08,16.86,4.2,1998-11-08T00:00:00,135.0,,890.0
-95.68,15.54,4.0,1998-11-08T00:00:00,49.0,,891.0
-95.67,15.54,4.3,1998-11-09T00:00:00,48.0,,892.0
-95.48,15.45,4.4,1998-11-09T00:00:00,32.0,,893.0
-95.54,15.45,4.6,1998-11-11T00:00:00,14.0,,898.0
-98.21,15.9,4.1,1998-11-11T00:00:00,6.0,,899.0
-98.07,15.95,4.0,1998-11-14T00:00:00,3.0,,902.0
-94.52,16.88,4.1,1998-11-15T00:00:00,227.0,,907.0
-98.28,15.99,4.4,1998-11-17T00:00:00,3.0,,909.0
-98.19,16.02,4.3,1998-11-17T00:00:00,6.0,,910.0
-98.04,15.85,4.0,1998-11-19T00:00:00,3.0,,915.0
-95.47,15.14,4.2,1998-11-20T00:00:00,5.0,,918.0
-96.7,15.96,4.5,1998-11-21T00:00:00,42.0,,920.0
-98.86,16.01,4.0,1998-11-22T00:00:00,16.0,,922.0
-98.2,15.94,4.1,1998-11-24T00:00:00,6.0,,929.0
-98.17,16.02,4.1,1998-11-24T00:00:00,3.0,,931.0
-98.48,16.34,4.2,1998-11-24T00:00:00,28.0,,934.0
-97.34,15.89,4.0,1998-11-25T00:00:00,16.0,,936.0
-99.56,16.86,4.4,1998-11-27T00:00:00,23.0,,946.0
-98.58,19.11,4.0,1998-11-27T00:00:00,4.0,,948.0
-94.78,17.05,4.2,1998-11-27T00:00:00,137.0,,949.0
-98.22,15.99,4.3,1998-12-03T00:00:00,3.0,,965.0
-95.62,15.49,4.5,1998-12-03T00:00:00,46.0,,967.0
-98.06,16.02,4.7,1998-12-04T00:00:00,5.0,,970.0
-97.77,15.81,4.1,1998-12-04T00:00:00,16.0,,971.0
-98.6,19.08,4.0,1998-12-07T00:00:00,16.0,,973.0
-97.65,15.87,4.0,1998-12-07T00:00:00,16.0,,974.0
-94.5,16.56,4.4,1998-12-07T00:00:00,118.0,,975.0
-98.7,15.96,4.4,1998-12-07T00:00:00,10.0,,976.0
-97.53,15.58,4.2,1998-12-10T00:00:00,20.0,,979.0
-97.14,16.12,4.2,1998-12-10T00:00:00,8.0,,980.0
-95.59,15.73,4.3,1998-12-14T00:00:00,67.0,,986.0
-96.56,15.7,4.2,1998-12-17T00:00:00,16.0,,989.0
-98.11,16.25,4.4,1998-12-18T00:00:00,3.0,,992.0
-104.57,19.13,4.0,1998-12-18T00:00:00,10.0,,993.0
-94.79,17.43,4.6,1998-12-23T00:00:00,137.0,,1006.0
-101.4,17.06,4.5,1998-12-26T00:00:00,5.0,,1011.0
-100.11,16.59,4.3,1998-12-27T00:00:00,3.0,,1012.0
-99.38,16.17,4.2,1998-12-28T00:00:00,16.0,,1014.0
-96.26,16.37,4.2,1998-12-30T00:00:00,61.0,,1019.0
-97.76,16.35,4.1,1999-01-02T00:00:00,70.0,,1025.0
-100.15,16.86,4.0,1999-01-03T00:00:00,3.0,,1026.0
-96.05,15.75,4.3,1999-01-03T00:00:00,3.0,,1027.0
-94.73,17.37,4.1,1999-01-06T00:00:00,165.0,,1030.0
-102.29,17.86,4.1,1999-01-07T00:00:00,8.0,,1031.0
-98.95,15.96,4.4,1999-01-07T00:00:00,18.0,,1032.0
-94.34,16.89,4.1,1999-01-07T00:00:00,129.0,,1033.0
-99.45,16.25,4.4,1999-01-12T00:00:00,16.0,,1039.0
-99.42,16.2,4.0,1999-01-12T00:00:00,16.0,,1040.0
-97.18,16.1,4.5,1999-01-12T00:00:00,6.0,,1044.0
-101.88,17.54,4.4,1999-01-20T00:00:00,7.0,,1058.0
-94.61,18.26,4.3,1999-01-21T00:00:00,26.0,,1064.0
-99.44,16.18,4.2,1999-01-26T00:00:00,18.0,,1066.0
-98.03,16.18,4.1,1999-01-26T00:00:00,12.0,,1068.0
-95.24,16.27,4.5,1999-01-26T00:00:00,93.0,,1069.0
-95.18,17.43,4.1,1999-01-27T00:00:00,79.0,,1071.0
-99.35,16.6,4.0,1999-01-27T00:00:00,30.0,,1073.0
-97.61,15.97,4.0,1999-01-28T00:00:00,16.0,,1076.0
-102.02,18.1,4.0,1999-02-01T00:00:00,47.0,,1087.0
-98.04,16.27,4.1,1999-02-02T00:00:00,5.0,,1093.0
-98.29,16.01,4.2,1999-02-04T00:00:00,5.0,,1099.0
-95.73,17.62,4.2,1999-02-05T00:00:00,147.0,,1101.0
-98.17,16.18,4.1,1999-02-06T00:00:00,12.0,,1104.0
-98.23,16.18,4.1,1999-02-06T00:00:00,14.0,,1105.0
-94.78,16.41,4.2,1999-02-08T00:00:00,102.0,,1110.0
-103.11,18.29,4.3,1999-02-08T00:00:00,8.0,,1111.0
-93.94,17.06,4.3,1999-02-09T00:00:00,193.0,,1114.0
-95.16,16.81,4.1,1999-02-12T00:00:00,131.0,,1119.0
-106.83,21.68,5.1,1999-02-14T00:00:00,14.0,,1123.0
-98.76,16.04,4.2,1999-02-14T00:00:00,17.0,,1126.0
-99.33,16.48,4.5,1999-02-14T00:00:00,16.0,,1129.0
-100.92,18.19,4.3,1999-02-15T00:00:00,66.0,,1130.0
-95.53,16.94,4.5,1999-02-17T00:00:00,108.0,,1133.0
-96.39,15.61,4.8,1999-02-17T00:00:00,18.0,,1134.0
-100.73,17.3,4.2,1999-02-19T00:00:00,21.0,,1142.0
