year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2004,4,16,  ,  ,     ,32.57034,133.57948,30.438,     ,229.9,17.5,128.2,54,36,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2004,5,19,  ,  ,     ,33.57868,133.24596,32.092,     ,264.3,0.1,95.0,63,34,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2004,8,3,  ,  ,     ,33.21123,132.76254,60.948,     ,287.8,0.2,120.6,64,36,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2004,8,10,  ,  ,     ,33.35766,133.38712,34.945,     ,259.4,0.2,89.9,51,29,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2004,9,27,  ,  ,     ,34.37077,133.05022,52.005,     ,260.1,0.2,56.4,37,26,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2004,10,25,  ,  ,     ,34.22692,133.45654,75.312,     ,227.3,0.1,36.7,87,47,0.013,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2004,12,21,  ,  ,     ,33.316,132.34915,54.792,     ,212.5,0.2,114.5,58,36,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2004,12,26,  ,  ,     ,33.09622,133.99403,35.862,     ,231.8,21.4,56.2,47,43,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2005,3,7,  ,  ,     ,33.21245,131.82669,47.345,     ,235.7,0.2,135.3,57,42,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2005,4,7,  ,  ,     ,33.70408,132.85686,54.375,     ,247.9,0.1,142.7,47,45,0.013,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2005,4,16,  ,  ,     ,33.9789,132.35403,53.298,     ,244.6,0.2,103.9,56,39,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2005,5,9,  ,  ,     ,33.76415,132.00386,66.581,     ,243.6,0.2,112.7,63,47,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2005,9,10,  ,  ,     ,33.91595,132.96651,39.815,     ,294.5,0.2,157.5,52,34,0.011,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2005,12,31,  ,  ,     ,33.89844,132.93452,63.002,     ,241.8,0.2,127.0,57,32,0.013,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2006,1,16,  ,  ,     ,32.6914,131.87759,31.923,     ,282.0,36.8,240.6,43,32,0.013,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2006,4,10,  ,  ,     ,33.65204,132.92555,35.547,     ,282.5,35.5,130.7,45,25,0.012,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2006,5,30,  ,  ,     ,33.98057,133.58971,32.725,     ,217.1,17.8,94.3,56,26,0.013,            ,Yano2022-SSE,Yano and Kano (2022),2022-09-19
2015,10,10,  ,  ,     ,32.94148,132.85751,17.15,6.0,229.8,14.1,93.9,44,23,0.035,12787200.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2014,3,21,  ,  ,     ,33.10953,132.83807,24.133,6.5,235.8,12.2,114.3,51,61,0.049,19440000.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2012,10,19,  ,  ,     ,33.59245,133.69038,22.937,6.3,233.2,10.4,87.0,39,57,0.04,26265600.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2013,7,15,  ,  ,     ,32.91688,132.38194,18.349,6.8,209.9,32.9,84.5,169,51,0.063,41644800.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2011,4,10,  ,  ,     ,32.16292,131.86118,20.392,6.6,194.2,31.8,72.1,66,58,0.068,29808000.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2010,10,25,  ,  ,     ,33.41098,133.62752,19.905,6.6,239.0,12.2,89.7,78,66,0.05,39571200.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2009,11,8,  ,  ,     ,32.95574,132.81429,19.618,6.9,241.8,15.1,112.0,75,49,0.211,52531200.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2006,10,6,  ,  ,     ,32.0076,131.72421,25.434,6.6,195.1,31.8,73.8,30,42,0.172,43372800.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2008,5,22,  ,  ,     ,32.75916,132.2209,22.515,6.5,206.5,30.8,80.9,50,52,0.074,33004800.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2009,8,12,  ,  ,     ,32.2084,131.8931,19.321,6.6,193.6,31.5,82.6,76,47,0.081,36115200.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2006,5,31,  ,  ,     ,32.96343,132.80653,19.077,6.4,238.3,15.4,96.1,64,90,0.02,20563200.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2004,7,23,  ,  ,     ,33.42809,133.36406,22.864,6.3,239.4,12.7,102.7,48,35,0.059,31968000.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2005,2,21,  ,  ,     ,32.51009,132.01901,18.473,6.6,198.5,32.0,86.6,90,50,0.066,36806400.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2003,5,8,  ,  ,     ,32.97915,132.83669,19.454,6.9,240.0,15.0,109.7,82,53,0.154,28425600.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2002,3,28,  ,  ,     ,33.23781,132.41095,21.593,6.8,198.5,29.9,80.6,139,57,0.056,20563200.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2002,1,28,  ,  ,     ,31.80494,132.18784,7.826,6.5,197.8,19.1,86.7,156,85,0.013,15811200.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
1996,9,30,  ,  ,     ,32.16468,132.12851,5.579,7.0,191.2,29.8,79.2,62,85,0.177,36028800.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2000,12,29,  ,  ,     ,33.21492,132.87544,23.934,6.3,232.6,17.4,112.2,68,19,0.067,21772800.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2000,2,12,  ,  ,     ,32.5245,131.96919,21.591,6.5,198.9,32.1,80.8,88,39,0.065,25920000.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
1998,11,2,  ,  ,     ,31.398,131.91898,12.443,6.3,200.0,17.6,61.8,40,48,0.055,30844800.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
1998,5,5,  ,  ,     ,33.43674,133.37943,22.923,6.0,239.1,12.5,93.1,42,35,0.025,15292800.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
1997,12,23,  ,  ,     ,32.39472,132.07602,13.988,6.6,197.4,29.8,88.2,69,58,0.086,44928000.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
1996,11,24,  ,  ,     ,32.95927,132.77333,14.047,6.9,212.2,17.1,87.7,72,78,0.108,32227200.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2015,10,26,  ,  ,     ,33.53747,133.64047,22.41,6.2,237.4,11.8,102.6,78,49,0.017,12700800.0,Takagi2019-SSE,Takagi et al. (2022),2022-05-31
2012,10,0,  ,  ,     ,33.966,133.924,24.1,     ,224.7,8.4,90.0,171,36,0.013,            ,Takagi2016-SSE,Takagi et al. (2016),2018-06-25
2012,4,0,  ,  ,     ,33.629,133.30901,25.0,     ,216.5,10.2,89.7,175,22,0.021,            ,Takagi2016-SSE,Takagi et al. (2016),2018-06-25
2011,10,0,  ,  ,     ,33.428,133.26199,19.4,     ,218.0,10.3,90.0,174,34,0.018,            ,Takagi2016-SSE,Takagi et al. (2016),2018-06-25
2011,4,0,  ,  ,     ,33.592,133.34,21.0,     ,212.8,6.4,86.9,159,35,0.023,            ,Takagi2016-SSE,Takagi et al. (2016),2018-06-25
2005,4,0,  ,  ,     ,33.45,133.196,21.6,     ,196.1,11.1,90.0,24,32,0.049,            ,Takagi2016-SSE,Takagi et al. (2016),2018-06-25
2004,10,0,  ,  ,     ,33.543,133.20799,19.9,     ,191.5,12.9,72.4,36,34,0.056,            ,Takagi2016-SSE,Takagi et al. (2016),2018-06-25
2004,4,0,  ,  ,     ,33.383,133.263,18.2,     ,237.8,9.8,105.5,121,36,0.018,            ,Takagi2016-SSE,Takagi et al. (2016),2018-06-25
2008,5,14,  ,  ,     ,34.974,137.243,30.0,5.7,240.0,12.0,115.0,33,25,0.012,345600.0,Sekine2010-SSE,Sekine et al. (2010),2018-06-25
