,index,year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate,depth,time,ID,date,start,end,mid_time_deciyear,type,Named_SSEs,Start,End,Average date of GPS maximum speed,Date of maximum moment rate,Maximum moment rate,Total moment released,start_yr,start_doy,start_dec_year,end_yr,end_doy,end_dec_year,Mw_Est,cent_long,cent_lat,Event,Start_year,Start_month,Start_day,End_year,End_month,End_day,Duration,Lon_geom,Lat_geom,Z_geom,Lon_pot,Lat_pot,Z_pot,Lon_mom,Lat_mom,Z_mom,Mw,Area,Potency,Moment,Max_slip,Mean_slip,Max_slip_rate,Mean_slip_rate,Start_time,End_time,year_time,SSE_number_michel2019,min_start,max_start,min_end,max_end,len,wid,str,M0,dur,Mw_error,Duration_error,Longitude,Latitude,Depth,Time,Aseismic_percent
0,0.0,1994.0,12.0,1.0,,,,35.466,138.72701,7.4,5.8,199.0,33.0,59.0,36.0,40.0,0.011,86400.0,Nishimura2021c-SSE,Nishimura (2021),2021-08-30,7.4,1994-12-01 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1994.0,12.0,29.0,,,,35.815,140.356,34.4,6.12,262.0,17.0,134.0,41.0,58.0,0.02,1728000.0,Nishimura2021b-SSE,Nishimura (2021),2021-08-30,34.4,1994-12-29 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1995.0,1.0,16.0,,,,35.35,142.091,9.8,6.84,186.0,14.0,112.0,39.0,41.0,0.359,1900800.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,9.8,1995-01-16 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0,1995.0,4.0,12.0,,,,36.155,142.202,14.1,6.36,205.0,15.0,110.0,41.0,39.0,0.068,345600.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,14.1,1995-04-12 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,1995.0,4.0,27.0,,,,35.164,138.133,27.5,6.1,242.0,19.0,128.0,33.0,58.0,0.023,3456000.0,Nishimura2021c-SSE,Nishimura (2021),2021-08-30,27.5,1995-04-27 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.0,1995.0,8.0,2.0,,,,34.916,137.174,28.0,6.17,289.0,14.0,169.0,43.0,46.0,0.028,1036800.0,Nishimura2021c-SSE,Nishimura (2021),2021-08-30,28.0,1995-08-02 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3.0,1995.0,8.0,3.0,,,,36.497,142.22701,18.5,6.79,208.0,15.0,77.0,40.0,41.0,0.291,6220800.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,18.5,1995-08-03 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4.0,1995.0,10.0,19.0,,,,36.19,140.121,68.3,6.09,188.0,24.0,102.0,39.0,38.0,0.029,86400.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,68.3,1995-10-19 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5.0,1995.0,11.0,21.0,,,,36.221,141.034,39.4,6.13,203.0,19.0,125.0,44.0,37.0,0.031,86400.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,39.4,1995-11-21 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6.0,1996.0,1.0,2.0,,,,35.327,141.548,21.7,6.24,181.0,17.0,91.0,39.0,42.0,0.044,432000.0,Nishimura2021a-SSE,Nishimura (2021),2021-08-30,21.7,1996-01-02 00:00:00.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
