lon,lat,depth
-148.15,64.75,135475.64697300002
-148.1,64.75,133846.78649899998
-148.05,64.75,132328.887939
-148.0,64.75,130906.906128
-147.95,64.75,129566.390991
-147.9,64.75,128294.113159
-147.85,64.75,127078.514099
-147.8,64.75,125909.90448
-148.5,64.7,149589.126587
-148.45,64.7,146862.99133299998
-148.4,64.7,144283.50830100002
-148.35,64.7,141854.278564
-148.3,64.7,139575.317383
-148.25,64.7,137443.450928
-148.2,64.7,135452.62146
-148.15,64.7,133594.512939
-148.1,64.7,131859.039307
-148.05,64.7,130235.092163
-148.0,64.7,128711.105347
-147.95,64.7,127275.627136
-147.9,64.7,125917.831421
-147.85,64.7,124627.883911
-147.8,64.7,123397.20153800001
-147.75,64.7,122218.566895
-148.55,64.65,150566.162109
-148.5,64.65,147735.534668
-148.45,64.65,145023.452759
-148.4,64.65,142438.156128
-148.35,64.65,139984.924316
-148.3,64.65,137666.061401
-148.25,64.65,135481.079102
-148.2,64.65,133426.971436
-148.15,64.65,131498.56567399998
-148.1,64.65,129689.02587900001
-148.05,64.65,127990.333557
-148.0,64.65,126393.714905
-147.95,64.65,124890.182495
-147.9,64.65,123470.88623
-147.85,64.65,122127.479553
-147.8,64.65,120852.340698
-147.75,64.65,119638.717651
-147.7,64.65,118480.827332
-147.65,64.65,117373.825073
-147.6,64.65,116313.73596199999
-148.65,64.6,154132.751465
-148.6,64.6,151184.18884299998
-148.55,64.6,148312.19482399998
-148.5,64.6,145530.181885
-148.45,64.6,142849.456787
-148.4,64.6,140278.99169899998
-148.35,64.6,137825.271606
-148.3,64.6,135492.30957
-148.25,64.6,133281.661987
-148.2,64.6,131192.642212
-148.15,64.6,129222.579956
-148.1,64.6,127367.164612
-148.05,64.6,125620.788574
-148.0,64.6,123976.951599
-147.95,64.6,122428.649902
-147.9,64.6,120968.666077
-147.85,64.6,119589.912415
-147.8,64.6,118285.636902
-147.75,64.6,117049.58343500001
-147.7,64.6,115876.098633
-147.65,64.6,114760.185242
-147.6,64.6,113697.47924799999
-147.55,64.6,112684.24224899999
-147.5,64.6,111717.285156
-147.45,64.6,110793.884277
-147.4,64.6,109911.750793
-148.75,64.55,157256.484985
-148.7,64.55,154314.361572
-148.65,64.55,151405.700684
-148.6,64.55,148545.684814
-148.55,64.55,145748.596191
-148.5,64.55,143027.328491
-148.45,64.55,140393.188477
-148.4,64.55,137855.545044
-148.35,64.55,135421.722412
-148.3,64.55,133096.923828
-148.25,64.55,130884.21630900001
-148.2,64.55,128784.65271
-148.15,64.55,126797.454834
-148.1,64.55,124920.24231
-148.05,64.55,123149.330139
-148.0,64.55,121479.99572800001
-147.95,64.55,119906.822205
-147.9,64.55,118423.957825
-147.85,64.55,117025.390625
-147.8,64.55,115705.162048
-147.75,64.55,114457.50427199999
-147.7,64.55,113277.023315
-147.65,64.55,112158.714294
-147.6,64.55,111098.052979
-147.55,64.55,110090.98053
-147.5,64.55,109133.903503
-147.45,64.55,108223.648071
-147.4,64.55,107357.444763
-147.35,64.55,106532.867432
-148.9,64.5,162537.353516
-148.85,64.5,159718.765259
-148.8,64.5,156882.38525400002
-148.75,64.5,154042.129517
-148.7,64.5,151212.265015
-148.65,64.5,148407.11975100002
-148.6,64.5,145640.670776
-148.55,64.5,142926.30004899998
-148.5,64.5,140276.382446
-148.45,64.5,137701.965332
-148.4,64.5,135212.60070799998
-148.35,64.5,132816.10107399998
-148.3,64.5,130518.41735799999
-148.25,64.5,128323.684692
-148.2,64.5,126234.214783
-148.15,64.5,124250.62561
-148.1,64.5,122371.986389
-148.05,64.5,120596.076965
-148.0,64.5,118919.586182
-147.95,64.5,117338.371277
-147.9,64.5,115847.709656
-147.85,64.5,114442.504883
-147.8,64.5,113117.523193
-147.75,64.5,111867.523193
-147.7,64.5,110687.416077
-147.65,64.5,109572.357178
-147.6,64.5,108517.814636
-147.55,64.5,107519.630432
-147.5,64.5,106573.997498
-147.45,64.5,105677.528381
-147.4,64.5,104827.171326
-147.35,64.5,104020.233154
-147.3,64.5,103254.325867
-149.0,64.45,164025.74157699998
-148.95,64.45,161402.84729
-148.9,64.45,158738.113403
-148.85,64.45,156042.08374
-148.8,64.45,153326.30920400002
-148.75,64.45,150603.057861
-148.7,64.45,147885.08606
-148.65,64.45,145185.379028
-148.6,64.45,142516.815186
-148.55,64.45,139891.860962
-148.5,64.45,137322.250366
-148.45,64.45,134818.67981
-148.4,64.45,132390.609741
-148.35,64.45,130046.03576700001
-148.3,64.45,127791.36657700001
-148.25,64.45,125631.393433
-148.2,64.45,123569.26727299999
-148.15,64.45,121606.5979
-148.1,64.45,119743.537903
-148.05,64.45,117978.95049999999
-148.0,64.45,116310.61554
-147.95,64.45,114735.427856
-147.9,64.45,113249.580383
-147.85,64.45,111848.79303
-147.8,64.45,110528.488159
-147.75,64.45,109283.950806
-147.7,64.45,108110.48126199999
-147.65,64.45,107003.486633
-147.6,64.45,105958.580017
-147.55,64.45,104971.64917
-147.5,64.45,104038.894653
-147.45,64.45,103156.837463
-147.4,64.45,102322.33429
-147.35,64.45,101532.569885
-147.3,64.45,100785.03418
-149.1,64.4,164698.577881
-149.05,64.4,162290.847778
-149.0,64.4,159828.99475100002
-148.95,64.4,157319.763184
-148.9,64.4,154771.16394
-148.85,64.4,152192.260742
-148.8,64.4,149593.093872
-148.75,64.4,146984.51232900002
-148.7,64.4,144377.944946
-148.65,64.4,141785.140991
-148.6,64.4,139217.926025
-148.55,64.4,136687.820435
-148.5,64.4,134205.871582
-148.45,64.4,131782.272339
-148.4,64.4,129426.193237
-148.35,64.4,127145.568848
-148.3,64.4,124946.975708
-148.25,64.4,122835.548401
-148.2,64.4,120814.964294
-148.15,64.4,118887.466431
-148.1,64.4,117053.955078
-148.05,64.4,115314.125061
-148.0,64.4,113666.572571
-147.95,64.4,112109.008789
-147.9,64.4,110638.404846
-147.85,64.4,109251.174927
-147.8,64.4,107943.367004
-147.75,64.4,106710.800171
-147.7,64.4,105549.194336
-147.65,64.4,104454.315186
-147.6,64.4,103422.019958
-147.55,64.4,102448.38714600001
-147.5,64.4,101529.73174999999
-147.45,64.4,100662.65106199999
-147.4,64.4,99844.039917
-147.35,64.4,99071.0830688
-147.3,64.4,98341.25518800001
-147.25,64.4,97652.2521973
-147.0,64.4,94753.0288696
-146.95,64.4,94270.8435059
-146.9,64.4,93817.7947998
-149.2,64.35,164649.642944
-149.15,64.35,162447.70812999998
-149.1,64.35,160189.575195
-149.05,64.35,157878.540039
-149.0,64.35,155519.01245100002
-148.95,64.35,153116.638184
-148.9,64.35,150678.11584500002
-148.85,64.35,148211.303711
-148.8,64.35,145724.96032699998
-148.75,64.35,143228.69873
-148.7,64.35,140732.74231
-148.65,64.35,138247.680664
-148.6,64.35,135784.28649899998
-148.55,64.35,133353.19519
-148.5,64.35,130964.645386
-148.45,64.35,128628.21960400001
-148.4,64.35,126352.630615
-148.35,64.35,124145.568848
-148.3,64.35,122013.526917
-148.25,64.35,119961.72332800001
-148.2,64.35,117994.087219
