lon,lat,depth
-128.35,50.05,5497.75981903
-128.3,50.05,5884.616851809999
-128.25,50.05,6312.93773651
-128.2,50.05,6784.52682495
-128.15,50.05,7300.8146286
-128.1,50.05,7862.77151108
-128.05,50.05,8470.82233429
-128.0,50.05,9124.76348877
-127.94999999999999,50.05,9823.68183136
-127.9,50.05,10565.8884048
-127.85,50.05,11348.864555400001
-127.80000000000001,50.05,12169.2352295
-127.75,50.05,13022.7689743
-127.69999999999999,50.05,13904.4122696
-127.65,50.05,14808.3648682
-127.6,50.05,15728.1951904
-127.55000000000001,50.05,16656.988143900002
-127.5,50.05,17587.535858199997
-127.44999999999999,50.05,18512.5465393
-127.4,50.05,19424.8638153
-127.35,50.05,20317.6898956
-127.30000000000001,50.05,21184.7934723
-127.25,50.05,22020.6985474
-127.19999999999999,50.05,22820.8122253
-127.15,50.05,23581.5429688
-127.1,50.05,24300.338745099998
-127.05000000000001,50.05,24975.7061005
-127.0,50.05,25607.170105
-126.94999999999999,50.05,26195.2171326
-126.9,50.05,26741.2109375
-126.85,50.05,27247.285842899997
-126.80000000000001,50.05,27716.266632100003
-126.75,50.05,28151.5617371
-126.69999999999999,50.05,28557.086944600003
-126.65,50.05,28937.202453600003
-126.6,50.05,29296.6423035
-126.55000000000001,50.05,29640.4743195
-128.35,50.0,5109.05075073
-128.3,50.0,5455.33180237
-128.25,50.0,5841.69721603
-128.2,50.0,6270.45679092
-128.15,50.0,6743.61896515
-128.1,50.0,7262.7954483
-128.05,50.0,7829.09250259
-128.0,50.0,8443.005561830001
-127.94999999999999,50.0,9104.31289673
-127.9,50.0,9811.97929382
-127.85,50.0,10564.0792847
-127.80000000000001,50.0,11357.7404022
-127.75,50.0,12189.1260147
-127.69999999999999,50.0,13053.4543991
-127.65,50.0,13945.069313
-127.6,50.0,14857.5468063
-127.55000000000001,50.0,15783.8592529
-127.5,50.0,16716.5718079
-127.44999999999999,50.0,17648.0636597
-127.4,50.0,18570.7778931
-127.35,50.0,19477.4551392
-127.30000000000001,50.0,20361.3681793
-127.25,50.0,21216.514587399997
-127.19999999999999,50.0,22037.786483800002
-127.15,50.0,22821.0678101
-127.1,50.0,23563.3220673
-127.05000000000001,50.0,24262.584686299997
-127.0,50.0,24917.9592133
-126.94999999999999,50.0,25529.548645
-126.9,50.0,26098.3791351
-126.85,50.0,26626.3122559
-126.80000000000001,50.0,27115.942001299998
-126.75,50.0,27570.516586299997
-126.69999999999999,50.0,27993.8373566
-126.65,50.0,28390.201568599998
-126.6,50.0,28764.3184662
-126.55000000000001,50.0,29121.257782
-126.5,50.0,29466.381073
-126.44999999999999,50.0,29805.2902222
-126.4,50.0,30143.7473297
-126.35,50.0,30487.613677999998
-126.30000000000001,50.0,30842.7715302
-126.25,50.0,31215.0306702
-126.19999999999999,50.0,31610.0406647
-126.15,50.0,32033.1878662
-126.1,50.0,32489.479064900002
-126.05000000000001,50.0,32983.4136963
-126.0,50.0,33518.863678
-125.94999999999999,50.0,34098.9189148
-125.9,50.0,34725.7499695
-125.85,50.0,35400.47454829999
-125.80000000000001,50.0,36123.0201721
-125.75,50.0,36892.0402527
-125.69999999999999,50.0,37704.8454285
-125.65,50.0,38557.4264526
-125.6,50.0,39444.4770813
