lon,lat,depth
134.3,35.0,389309.47875999997
134.35,35.0,387240.600586
134.4,35.0,385187.805176
134.45,35.0,383149.53613300005
134.5,35.0,381123.718262
134.55,35.0,379108.03222700005
134.6,35.0,377099.945068
134.65,35.0,375096.923828
134.7,35.0,373096.679688
134.75,35.0,371097.198486
134.8,35.0,369096.984863
134.85,35.0,367095.062256
134.9,35.0,365090.91186500003
134.95,35.0,363084.472656
135.0,35.0,361075.927734
135.05,35.0,359065.55175800005
135.1,35.0,357053.466797
135.15,35.0,355039.428711
135.2,35.0,353022.613525
135.25,35.0,351001.586914
135.3,35.0,348974.090576
135.35,35.0,346937.07275399996
135.4,35.0,344886.871338
135.45,35.0,342819.21386699995
135.5,35.0,340729.43115200003
135.55,35.0,338612.823486
135.6,35.0,336464.691162
135.65,35.0,334280.853271
135.7,35.0,332057.83081099996
135.75,35.0,329793.09082
135.8,35.0,327485.351562
135.85,35.0,325134.82665999996
135.9,35.0,322743.28613300005
135.95,35.0,320314.117432
136.0,35.0,317852.41699199995
136.05,35.0,315364.685059
136.1,35.0,312858.79516599997
136.15,35.0,310343.505859
136.2,35.0,307828.155518
136.25,35.0,305322.296143
136.3,35.0,302835.08300800005
136.35,35.0,300374.87793
136.4,35.0,297948.760986
136.45,35.0,295562.194824
136.5,35.0,293218.444824
136.55,35.0,290918.457031
136.6,35.0,288660.522461
136.65,35.0,286440.03295900003
136.7,35.0,284249.481201
136.75,35.0,282078.491211
136.8,35.0,279913.84887700004
136.85,35.0,277739.95971699996
136.9,35.0,275539.031982
136.95,35.0,273291.90063499997
137.0,35.0,270978.485107
137.05,35.0,268578.82690399996
137.1,35.0,266073.79150399996
137.15,35.0,263446.01440399996
137.2,35.0,260680.87768599996
137.25,35.0,257767.181396
137.3,35.0,254697.738647
137.35,35.0,251470.046997
137.4,35.0,248086.273193
137.45,35.0,244553.451538
137.5,35.0,240883.178711
137.55,35.0,237091.186523
137.6,35.0,233196.777344
137.65,35.0,229221.984863
137.7,35.0,225190.765381
137.75,35.0,221128.051758
137.8,35.0,217058.685303
137.85,35.0,213006.652832
137.9,35.0,208994.00329599998
137.95,35.0,205040.19165
138.0,35.0,201161.300659
138.05,35.0,197369.52209500002
138.1,35.0,193672.79052699998
138.15,35.0,190074.447632
138.2,35.0,186573.242188
138.25,35.0,183163.391113
138.3,35.0,179834.823608
138.35,35.0,176573.638916
138.4,35.0,173362.57934599998
138.45,35.0,170181.793213
138.5,35.0,167009.613037
138.55,35.0,163823.425293
138.6,35.0,160600.753784
138.65,35.0,157320.17517099998
138.7,35.0,153962.402344
138.75,35.0,150511.260986
138.8,35.0,146954.65087900002
138.85,35.0,143285.324097
138.9,35.0,139501.449585
138.95,35.0,135607.147217
139.0,35.0,131612.518311
139.05,35.0,127533.538818
139.1,35.0,123391.593933
139.15,35.0,119212.70752
139.2,35.0,115026.45874
139.25,35.0,110864.700317
139.3,35.0,106760.055542
139.35,35.0,102744.33136000001
139.4,35.0,98846.9619751
139.45,35.0,95093.5058594
139.5,35.0,91504.3563843
139.55,35.0,88093.7957764
139.6,35.0,84869.3237305
139.65,35.0,81831.4971924
139.7,35.0,78974.1210938
139.75,35.0,76284.866333
139.8,35.0,73746.2615967
139.85,35.0,71336.9598389
139.9,35.0,69033.1726074
139.95,35.0,66810.1882935
140.0,35.0,64643.8751221
140.05,35.0,62512.012481699996
140.1,35.0,60395.454406699995
140.15,35.0,58279.003143300004
140.2,35.0,56151.9546509
140.25,35.0,54008.373260500004
