lon,lat,depth
-178.1,-14.15,341080.108643
-178.05,-14.15,335799.59106400004
-178.0,-14.15,330883.789062
-177.95,-14.15,326373.687744
-177.9,-14.15,322297.57690399996
-177.85,-14.15,318669.891357
-176.4,-14.15,248088.394165
-176.35,-14.15,243315.46020499998
-176.3,-14.15,238449.951172
-176.25,-14.15,233505.065918
-176.2,-14.15,228491.500854
-176.15,-14.15,223417.236328
-176.1,-14.15,218287.506104
-176.05,-14.15,213104.888916
-176.0,-14.15,207869.44580100002
-175.95,-14.15,202579.01001
-175.9,-14.15,197229.52270499998
-175.85,-14.15,191815.46020499998
-175.8,-14.15,186330.36804200002
-175.75,-14.15,180767.349243
-175.7,-14.15,175119.552612
-175.65,-14.15,169380.82885700001
-175.6,-14.15,163546.127319
-175.55,-14.15,157612.045288
-178.1,-14.2,342627.7771
-178.05,-14.2,337336.761475
-178.0,-14.2,332421.44775399996
-177.95,-14.2,327924.957275
-177.9,-14.2,323877.197266
-177.85,-14.2,320293.88427700003
-177.8,-14.2,317176.086426
-176.45,-14.2,255703.704834
-176.4,-14.2,250970.046997
-176.35,-14.2,246132.476807
-176.3,-14.2,241208.06884800002
-176.25,-14.2,236211.36474599998
-176.2,-14.2,231154.03747600003
-176.15,-14.2,226044.754028
-176.1,-14.2,220889.083862
-176.05,-14.2,215689.575195
-176.0,-14.2,210445.892334
-175.95,-14.2,205155.16662600002
-175.9,-14.2,199812.393188
-175.85,-14.2,194410.812378
-175.8,-14.2,188942.565918
-175.75,-14.2,183399.215698
-175.7,-14.2,177772.293091
-175.65,-14.2,172053.955078
-175.6,-14.2,166237.503052
-175.55,-14.2,160317.91687000002
-175.5,-14.2,154292.358398
-178.1,-14.25,344210.754395
-178.05,-14.25,338923.461914
-178.0,-14.25,334020.90454099997
-177.95,-14.25,329548.278809
-177.9,-14.25,325537.139893
-177.85,-14.25,322004.364014
-177.8,-14.25,318951.78222700005
-177.75,-14.25,316366.33300800005
-177.7,-14.25,314220.88623
-176.5,-14.25,263351.928711
-176.45,-14.25,258667.60253899998
-176.4,-14.25,253862.76245100002
-176.35,-14.25,248958.63342300002
-176.3,-14.25,243973.968506
-176.25,-14.25,238924.728394
-176.2,-14.25,233823.669434
-176.15,-14.25,228680.19104
-176.1,-14.25,223500.244141
-176.05,-14.25,218286.315918
-176.0,-14.25,213037.734985
-175.95,-14.25,207750.91552699998
-175.9,-14.25,202419.815063
-175.85,-14.25,197036.392212
-175.8,-14.25,191591.308594
-175.75,-14.25,186074.462891
-175.7,-14.25,180475.662231
-175.65,-14.25,174785.263062
-175.6,-14.25,168994.796753
-175.55,-14.25,163097.457886
-175.5,-14.25,157088.775635
-175.45,-14.25,150966.949463
-178.1,-14.3,345815.917969
-178.05,-14.3,340547.027588
-178.0,-14.3,335669.891357
-177.95,-14.3,331231.53686500003
-177.9,-14.3,327265.136719
-177.85,-14.3,323788.84887700004
-177.8,-14.3,320805.29785200005
-177.75,-14.3,318301.727295
-177.7,-14.3,316250.640869
-177.65,-14.3,314611.328125
-176.8,-14.3,291017.974854
-176.75,-14.3,287512.81738300005
-176.7,-14.3,283734.619141
-176.65,-14.3,279707.03125
-176.6,-14.3,275455.9021
-176.55,-14.3,271008.148193
-176.5,-14.3,266391.021729
-176.45,-14.3,261631.072998
-176.4,-14.3,256753.631592
-176.35,-14.3,251781.84509299998
-176.3,-14.3,246736.282349
-176.25,-14.3,241634.368896
-176.2,-14.3,236490.036011
-176.15,-14.3,231313.461304
-176.1,-14.3,226111.00769
-176.05,-14.3,220885.19287099998
-176.0,-14.3,215634.963989
-175.95,-14.3,210356.018066
-175.9,-14.3,205041.22924800002
-175.85,-14.3,199681.274414
-175.8,-14.3,194265.228271
-175.75,-14.3,188781.25
-175.7,-14.3,183217.330933
-175.65,-14.3,177561.935425
-175.6,-14.3,171804.641724
-175.55,-14.3,165936.859131
-175.5,-14.3,159952.25524899998
-175.45,-14.3,153847.35107399998
-175.4,-14.3,147621.994019
-178.1,-14.35,347430.511475
-178.05,-14.35,342194.793701
-178.0,-14.35,337355.712891
-177.95,-14.35,332961.914062
-177.9,-14.35,329048.095703
-177.85,-14.35,325633.69750999997
-177.8,-14.35,322722.320557
-177.75,-14.35,320301.574707
-177.7,-14.35,318344.02465800004
-177.65,-14.35,316808.288574
-176.85,-14.35,297681.121826
-176.8,-14.35,294435.699463
-176.75,-14.35,290884.18579099997
-176.7,-14.35,287048.980713
-176.65,-14.35,282955.93261699995
-176.6,-14.35,278633.117676
-176.55,-14.35,274109.893799
-176.5,-14.35,269415.83252
-176.45,-14.35,264579.89502
-176.4,-14.35,259629.577637
-176.35,-14.35,254590.10314899997
-176.3,-14.35,249483.87146
-176.25,-14.35,244329.879761
-176.2,-14.35,239143.249512
-176.15,-14.35,233935.043335
-176.1,-14.35,228712.06665
-176.05,-14.35,223476.882935
