lon,lat,depth
160.2,56.95,208068.54248
160.25,56.95,201982.16247600003
160.3,56.95,196100.585938
160.35,56.95,190422.31750499998
160.4,56.95,184944.71740700002
160.45,56.95,179664.459229
159.8,56.9,258932.647705
159.85,56.9,251425.231934
159.9,56.9,244066.26892099998
159.95,56.9,236870.132446
160.0,56.9,229849.533081
160.05,56.9,223015.136719
160.1,56.9,216375.335693
160.15,56.9,209936.172485
160.2,56.9,203701.278687
160.25,56.9,197672.16491700002
160.3,56.9,191848.419189
160.35,56.9,186228.118896
160.4,56.9,180808.15124500002
160.45,56.9,175584.762573
160.5,56.9,170553.848267
160.55,56.9,165711.45629899998
160.6,56.9,161053.970337
160.65,56.9,156578.43017600002
160.7,56.9,152282.623291
160.75,56.9,148165.130615
160.8,56.9,144225.31127900002
160.85,56.9,140463.119507
160.9,56.9,136878.952026
160.95,56.9,133473.403931
161.0,56.9,130246.963501
161.05,56.9,127199.73754900001
161.1,56.9,124331.207275
161.15,56.9,121639.938354
161.2,56.9,119123.352051
161.25,56.9,116777.587891
161.3,56.9,114597.37396200001
161.35,56.9,112575.973511
161.4,56.9,110705.215454
161.45,56.9,108975.524902
161.5,56.9,107376.11389200001
161.55,56.9,105895.103455
161.6,56.9,104519.805908
161.65,56.9,103236.953735
161.7,56.9,102032.958984
161.75,56.9,100894.24896200001
159.7,56.85,269461.97509799997
159.75,56.85,261765.74706999998
159.8,56.85,254186.264038
159.85,56.85,246740.005493
159.9,56.85,239442.76428200002
159.95,56.85,232309.158325
160.0,56.85,225352.035522
160.05,56.85,218582.092285
160.1,56.85,212007.659912
160.15,56.85,205634.567261
160.2,56.85,199466.20178200002
160.25,56.85,193503.69262699998
160.3,56.85,187746.200562
160.35,56.85,182191.345215
160.4,56.85,176835.55602999998
160.45,56.85,171674.682617
160.5,56.85,166704.284668
160.55,56.85,161920.150757
160.6,56.85,157318.54248
160.65,56.85,152896.499634
160.7,56.85,148651.931763
160.75,56.85,144583.72497600003
160.8,56.85,140691.574097
160.85,56.85,136975.952148
160.9,56.85,133437.774658
160.95,56.85,130078.262329
161.0,56.85,126898.483276
161.05,56.85,123899.147034
161.1,56.85,121080.26123
161.15,56.85,118440.811157
161.2,56.85,115978.569031
161.25,56.85,113689.880371
161.3,56.85,111569.52667199999
161.35,56.85,109610.694885
161.4,56.85,107804.962158
161.45,56.85,106142.40264900001
161.5,56.85,104611.717224
161.55,56.85,103200.424194
161.6,56.85,101895.172119
161.65,56.85,100681.95343
161.7,56.85,99546.4630127
161.75,56.85,98474.4110107
161.8,56.85,97451.79748539999
159.6,56.8,280127.593994
159.65,56.8,272324.310303
159.7,56.8,264605.133057
159.75,56.8,256985.839844
159.8,56.8,249483.093262
159.85,56.8,242113.449097
159.9,56.8,234892.92907699998
159.95,56.8,227836.22741700002
160.0,56.8,220956.253052
160.05,56.8,214263.656616
160.1,56.8,207766.647339
160.15,56.8,201470.809937
160.2,56.8,195379.21142600002
160.25,56.8,189492.584229
160.3,56.8,183809.661865
160.35,56.8,178327.590942
160.4,56.8,173042.404175
160.45,56.8,167949.50866700002
160.5,56.8,163044.189453
160.55,56.8,158322.00622600003
160.6,56.8,153779.15954599998
160.65,56.8,149412.719727
160.7,56.8,145220.809937
160.75,56.8,141202.590942
160.8,56.8,137358.230591
160.85,56.8,133688.735962
160.9,56.8,130195.61767600001
160.95,56.8,126880.737305
161.0,56.8,123745.826721
161.05,56.8,120792.228699
161.1,56.8,118020.500183
161.15,56.8,115430.12237499999
161.2,56.8,113019.218445
161.25,56.8,110784.35516400001
161.3,56.8,108720.397949
161.35,56.8,106820.449829
161.4,56.8,105075.85144
161.45,56.8,103476.295471
