lon,lat,depth
137.4,37.5,189024.185181
137.45,37.5,188532.302856
137.5,37.5,188002.319336
137.55,37.5,187407.82165499998
137.6,37.5,186732.421875
137.65,37.5,185969.589233
137.7,37.5,185121.52099599998
137.75,37.5,184197.036743
137.8,37.5,183209.060669
137.85,37.5,182171.84448200001
137.9,37.5,181098.709106
137.15,37.45,188998.657227
137.2,37.45,187964.477539
137.25,37.45,187114.71557600002
137.3,37.45,186414.840698
137.35,37.45,185826.019287
137.4,37.45,185308.105469
137.45,37.45,184822.540283
137.5,37.45,184334.945679
137.55,37.45,183817.138672
137.6,37.45,183248.35205100002
137.65,37.45,182615.49377399997
137.7,37.45,181912.643433
137.75,37.45,181139.770508
137.8,37.45,180301.07116700002
137.85,37.45,179403.106689
137.9,37.45,178453.140259
137.95,37.45,177457.809448
137.05,37.4,188785.53772000002
137.1,37.4,187212.615967
137.15,37.4,185875.045776
137.2,37.4,184757.736206
137.25,37.4,183837.249756
137.3,37.4,183083.404541
137.35,37.4,182461.395264
137.4,37.4,181934.143066
137.45,37.4,181464.84375
137.5,37.4,181019.165039
137.55,37.4,180567.153931
137.6,37.4,180084.42687999998
137.65,37.4,179552.856445
137.7,37.4,178960.388184
137.75,37.4,178300.445557
137.8,37.4,177570.877075
137.85,37.4,176772.720337
137.9,37.4,175908.966064
137.95,37.4,174983.566284
138.0,37.4,174000.717163
138.05,37.4,172964.569092
137.0,37.35,187842.453003
137.05,37.35,185957.00073200001
137.1,37.35,184317.5354
137.15,37.35,182919.906616
137.2,37.35,181751.08337399998
137.25,37.35,180790.023804
137.3,37.35,180008.89587399998
137.35,37.35,179375.03051799999
137.4,37.35,178852.874756
137.45,37.35,178406.21948200001
137.5,37.35,178000.25939899997
137.55,37.35,177603.317261
137.6,37.35,177188.156128
137.65,37.35,176732.818604
137.7,37.35,176220.825195
137.75,37.35,175640.991211
137.8,37.35,174986.75537099998
137.85,37.35,174255.386353
137.9,37.35,173447.05200199998
137.95,37.35,172564.041138
138.0,37.35,171610.046387
138.05,37.35,170589.81323200001
138.1,37.35,169508.834839
136.95,37.3,187347.595215
137.0,37.3,185165.374756
137.05,37.3,183230.91125499998
137.1,37.3,181549.499512
137.15,37.3,180117.523193
137.2,37.3,178922.683716
137.25,37.3,177944.763184
137.3,37.3,177156.814575
137.35,37.3,176526.855469
137.4,37.3,176019.683838
137.45,37.3,175598.892212
137.5,37.3,175228.80554200002
137.55,37.3,174876.220703
137.6,37.3,174511.703491
137.65,37.3,174110.610962
137.7,37.3,173653.411865
137.75,37.3,173125.86975100002
137.8,37.3,172518.600464
137.85,37.3,171826.52282699998
137.9,37.3,171048.187256
137.95,37.3,170184.997559
138.0,37.3,169240.600586
138.05,37.3,168220.367432
138.1,37.3,167130.981445
138.15,37.3,165980.25512699998
136.85,37.25,189931.07605
136.9,37.25,187247.085571
136.95,37.25,184784.21020499998
137.0,37.25,182564.117432
137.05,37.25,180600.387573
137.1,37.25,178897.93396
137.15,37.25,177452.789307
137.2,37.25,176252.27356
137.25,37.25,175275.878906
137.3,37.25,174496.35314899997
137.35,37.25,173881.347656
137.4,37.25,173395.141602
137.45,37.25,173000.62561
137.5,37.25,172661.132812
137.55,37.25,172342.163086
137.6,37.25,172012.72582999998
137.65,37.25,171646.392822
137.7,37.25,171221.817017
137.75,37.25,170722.976685
137.8,37.25,170138.916016
137.85,37.25,169463.394165
137.9,37.25,168694.213867
137.95,37.25,167832.53479
138.0,37.25,166882.263184
138.05,37.25,165849.456787
138.1,37.25,164741.80602999998
138.15,37.25,163568.252563
138.2,37.25,162338.745117
136.8,37.2,190422.592163
136.85,37.2,187493.652344
136.9,37.2,184767.684937
136.95,37.2,182273.46801799999
137.0,37.2,180032.25707999998
137.05,37.2,178056.96106
137.1,37.2,176351.501465
137.15,37.2,174910.720825
137.2,37.2,173720.76416
137.25,37.2,172759.90295400002
137.3,37.2,171999.755859
137.35,37.2,171406.814575
137.4,37.2,170944.381714
137.45,37.2,170574.295044
137.5,37.2,170258.94165
137.55,37.2,169962.814331
137.6,37.2,169653.99169899998
137.65,37.2,169305.084229
137.7,37.2,168893.920898
137.75,37.2,168403.747559
137.8,37.2,167823.0896
137.85,37.2,167145.385742
137.9,37.2,166368.392944
137.95,37.2,165493.530273
138.0,37.2,164525.192261
138.05,37.2,163470.092773
138.1,37.2,162336.761475
138.15,37.2,161135.009766
138.2,37.2,159875.534058
138.25,37.2,158569.641113
138.3,37.2,157228.82080100002
136.7,37.15,194472.30529800002
136.75,37.15,191186.187744
136.8,37.15,188038.696289
136.85,37.15,185070.541382
136.9,37.15,182317.10815400002
136.95,37.15,179807.006836
137.0,37.15,177560.791016
137.05,37.15,175590.14892600002
137.1,37.15,173897.43042000002
137.15,37.15,172475.69274899998
137.2,37.15,171309.234619
137.25,37.15,170374.420166
137.3,37.15,169641.113281
137.35,37.15,169074.295044
137.4,37.15,168635.864258
137.45,37.15,168286.621094
137.5,37.15,167988.082886
137.55,37.15,167704.16259800002
137.6,37.15,167402.55737300002
137.65,37.15,167055.664062
137.7,37.15,166641.32690400002
137.75,37.15,166142.88330100002
137.8,37.15,165549.14856
137.85,37.15,164853.94287099998
137.9,37.15,164055.526733
137.95,37.15,163155.86852999998
138.0,37.15,162160.01892099998
138.05,37.15,161075.3479
138.1,37.15,159911.010742
138.15,37.15,158677.41394
138.2,37.15,157385.77270499998
138.25,37.15,156047.775269
138.3,37.15,154675.18615700002
138.35,37.15,153279.55627399997
138.4,37.15,151871.948242
136.65,37.1,195599.22790499998
136.7,37.1,192160.629272
136.75,37.1,188826.187134
136.8,37.1,185641.799927
136.85,37.1,182649.047852
136.9,37.1,179883.483887
136.95,37.1,177373.18420400002
137.0,37.1,175137.573242
137.05,37.1,173186.63024899998
137.1,37.1,171520.645142
137.15,37.1,170130.386353
137.2,37.1,168997.69592300002
137.25,37.1,168096.679688
137.3,37.1,167395.05004899998
137.35,37.1,166855.97229
137.4,37.1,166439.926147
137.45,37.1,166106.704712
137.5,37.1,165817.245483
137.55,37.1,165535.27832
137.6,37.1,165228.622437
137.65,37.1,164870.17822300002
137.7,37.1,164438.430786
137.75,37.1,163917.556763
137.8,37.1,163297.241211
137.85,37.1,162572.23510700001
137.9,37.1,161741.638184
137.95,37.1,160808.258057
138.0,37.1,159777.816772
138.05,37.1,158658.309937
138.1,37.1,157459.350586
138.15,37.1,156191.741943
138.2,37.1,154866.958618
138.25,37.1,153496.810913
138.3,37.1,152093.15490700002
138.35,37.1,150667.480469
138.4,37.1,149230.743408
138.45,37.1,147793.014526
136.6,37.05,196822.44873
136.65,37.05,193273.31543
136.7,37.05,189789.382935
136.75,37.05,186420.776367
136.8,37.05,183214.63012699998
136.85,37.05,180213.02795400002
136.9,37.05,177451.339722
136.95,37.05,174956.695557
137.0,37.05,172746.871948
137.05,37.05,170829.742432
137.1,37.05,169203.033447
137.15,37.05,167854.782104
137.2,37.05,166764.11437999998
137.25,37.05,165902.46582
137.3,37.05,165235.305786
137.35,37.05,164723.892212
137.4,37.05,164327.377319
137.45,37.05,164004.730225
137.5,37.05,163716.598511
137.55,37.05,163426.986694
137.6,37.05,163104.38537600002
137.65,37.05,162722.702026
