lon,lat,depth
93.5,26.7,41708.9118958
93.55,26.7,42135.9329224
93.6,26.7,42569.4160461
93.65,26.7,43003.799438500006
93.7,26.7,43433.2008362
93.75,26.7,43851.726532
93.8,26.7,44253.818512000005
93.85,26.7,44634.5214844
93.9,26.7,44989.7689819
93.95,26.7,45316.5283203
94.0,26.7,45612.9646301
94.05,26.7,45878.4370422
94.1,26.7,46113.5215759
94.15,26.7,46319.900512700005
94.2,26.7,46500.2784729
94.25,26.7,46658.2145691
94.3,26.7,46797.996521
94.35,26.7,46924.495697
94.4,26.7,47043.0412292
94.45,26.7,47159.3360901
94.5,26.7,47279.3655396
94.55,26.7,47409.3818665
94.6,26.7,47555.8738708
94.65,26.7,47725.5935669
94.7,26.7,47925.586700399996
94.75,26.7,48163.2232666
94.8,26.7,48446.2661743
94.85,26.7,48782.8826904
94.9,26.7,49181.678772
94.95,26.7,49651.6685486
95.0,26.7,50202.2285461
95.05,26.7,50842.9985046
95.1,26.7,51583.7440491
95.15,26.7,52434.2002869
95.2,26.7,53403.8467407
95.25,26.7,54501.735687299995
95.3,26.7,55736.2823486
95.35,26.7,57115.0970459
95.4,26.7,58644.8745728
95.45,26.7,60331.325530999995
95.5,26.7,62179.187774699996
95.55,26.7,64192.2836304
95.6,26.7,66373.6114502
95.65,26.7,68725.52490229999
95.7,26.7,71249.8321533
95.75,26.7,73947.9370117
95.8,26.7,76820.930481
95.85,26.7,79869.6060181
95.9,26.7,83094.4213867
95.95,26.7,86495.4223633
96.0,26.7,90072.05200200001
96.05,26.7,93822.9980469
96.1,26.7,97745.9716797
96.15,26.7,101837.532043
93.45,26.65,41111.6523743
93.5,26.65,41508.6708069
93.55,26.65,41917.4957275
93.6,26.65,42333.854675300005
93.65,26.65,42752.8266907
93.7,26.65,43169.1322327
93.75,26.65,43577.381134
93.8,26.65,43972.3548889
93.85,26.65,44349.2698669
93.9,26.65,44703.9985657
93.95,26.65,45033.256530800005
94.0,26.65,45334.728241
94.05,26.65,45607.1548462
94.1,26.65,45850.3265381
94.15,26.65,46065.0787354
94.2,26.65,46253.223419199996
94.25,26.65,46417.4613953
94.3,26.65,46561.271667500005
94.35,26.65,46688.8198853
94.4,26.65,46804.8591614
94.45,26.65,46914.6347046
94.5,26.65,47023.8227844
94.55,26.65,47138.4849548
94.6,26.65,47265.0337219
94.65,26.65,47410.2516174
94.7,26.65,47581.2797546
94.75,26.65,47785.678863500005
94.8,26.65,48031.4483643
94.85,26.65,48327.0721436
94.9,26.65,48681.5185547
94.95,26.65,49104.2556763
95.0,26.65,49605.1864624
95.05,26.65,50194.5762634
95.1,26.65,50882.9269409
95.15,26.65,51680.7861328
95.2,26.65,52598.5679626
95.25,26.65,53646.3127136
95.3,26.65,54833.4693909
95.35,26.65,56168.6897278
95.4,26.65,57659.6679688
95.45,26.65,59313.0302429
95.5,26.65,61134.288787800004
95.55,26.65,63127.8877258
95.6,26.65,65297.271728499996
95.65,26.65,67645.0653076
95.7,26.65,70173.1948853
95.75,26.65,72883.1100464
95.8,26.65,75775.8560181
95.85,26.65,78852.2415161
95.9,26.65,82112.78533940001
95.95,26.65,85557.72399900001
96.0,26.65,89186.8286133
96.05,26.65,92999.2675781
96.1,26.65,96993.32427980001
96.15,26.65,101166.175842
96.2,26.65,105513.626099
93.4,26.6,40571.2394714
93.45,26.6,40939.4683838
93.5,26.6,41323.2841492
93.55,26.6,41719.6273804
93.6,26.6,42124.6452332
93.65,26.6,42533.8439941
93.7,26.6,42942.3065186
93.75,26.6,43344.9325562
93.8,26.6,43736.686706500004
93.85,26.6,44112.8311157
93.9,26.6,44469.1390991
93.95,26.6,44802.0820618
94.0,26.6,45108.959198000004
94.05,26.6,45388.0004883
94.1,26.6,45638.4086609
94.15,26.6,45860.3858948
94.2,26.6,46055.0842285
94.25,26.6,46224.5750427
94.3,26.6,46371.7689514
94.35,26.6,46500.3433228
94.4,26.6,46614.6507263
94.45,26.6,46719.6502686
94.5,26.6,46820.835113500005
94.55,26.6,46924.190521200006
94.6,26.6,47036.1328125
94.65,26.6,47163.5284424
94.7,26.6,47313.6749268
94.75,26.6,47494.3389893
94.8,26.6,47713.7718201
94.85,26.6,47980.7548523
94.9,26.6,48304.5921326
94.95,26.6,48695.1255798
95.0,26.6,49162.689209
95.05,26.6,49718.0137634
95.1,26.6,50372.1122742
95.15,26.6,51136.104583700006
95.2,26.6,52020.9999084
95.25,26.6,53037.4603271
95.3,26.6,54195.5680847
95.35,26.6,55504.5967102
95.4,26.6,56972.8279114
95.45,26.6,58607.4104309
95.5,26.6,60414.3218994
95.55,26.6,62398.3879089
95.6,26.6,64563.3773804
95.65,26.6,66912.147522
95.7,26.6,69446.8612671
95.75,26.6,72169.1818237
95.8,26.6,75080.42907710001
95.85,26.6,78181.7321777
95.9,26.6,81474.06005860001
95.95,26.6,84958.190918
96.0,26.6,88634.5672607
96.05,26.6,92503.0593872
96.1,26.6,96562.72125239999
96.15,26.6,100811.431885
96.2,26.6,105245.59021000001
96.25,26.6,109859.84802199999
93.35,26.55,40079.5898438
93.4,26.55,40419.509887700005
93.45,26.55,40777.5230408
93.5,26.55,41151.763916
93.55,26.55,41539.4554138
93.6,26.55,41937.0193481
93.65,26.55,42340.221405000004
93.7,26.55,42744.3695068
93.75,26.55,43144.53125
93.8,26.55,43535.7437134
93.85,26.55,43913.2537842
93.9,26.55,44272.708892799994
93.95,26.55,44610.3477478
94.0,26.55,44923.1529236
94.05,26.55,45208.9424133
94.1,26.55,45466.4649963
94.15,26.55,45695.423126199996
94.2,26.55,45896.484375
94.25,26.55,46071.2547302
94.3,26.55,46222.221374500004
94.35,26.55,46352.7183533
94.4,26.55,46466.8388367
94.45,26.55,46569.3588257
94.5,26.55,46665.6837463
94.55,26.55,46761.7797852
94.6,26.55,46864.1433716
94.65,26.55,46979.7554016
94.7,26.55,47116.1079407
94.75,26.55,47281.1851501
94.8,26.55,47483.4976196
94.85,26.55,47732.109069800004
94.9,26.55,48036.6287231
94.95,26.55,48407.2227478
95.0,26.55,48854.5532227
95.05,26.55,49389.6942139
95.1,26.55,50024.017334
95.15,26.55,50768.9819336
95.2,26.55,51635.9558105
95.25,26.55,52635.936737100004
95.3,26.55,53779.3388367
95.35,26.55,55075.7293701
95.4,26.55,56533.6685181
95.45,26.55,58160.556793200005
95.5,26.55,59962.596893300004
95.55,26.55,61944.835662800004
95.6,26.55,64111.259460400004
95.65,26.55,66464.98870850001
95.7,26.55,69008.4991455
95.75,26.55,71743.8278198
95.8,26.55,74672.8057861
95.85,26.55,77797.1725464
95.9,26.55,81118.63708500001
95.95,26.55,84638.8092041
96.0,26.55,88359.046936
96.05,26.55,92280.16662599999
96.1,26.55,96402.1072388
96.15,26.55,100723.56414799999
96.2,26.55,105241.523743
96.25,26.55,109950.98877
96.3,26.55,114844.642639
96.35,26.55,119912.727356
93.3,26.5,39633.541107200006
93.35,26.5,39945.2934265
93.4,26.5,40276.5312195
93.45,26.5,40626.5258789
93.5,26.5,40993.595123299994
93.55,26.5,41375.1564026
93.6,26.5,41767.8146362
93.65,26.5,42167.5033569
93.7,26.5,42569.6678162
93.75,26.5,42969.455719000005
93.8,26.5,43361.9308472
93.85,26.5,43742.2828674
93.9,26.5,44106.03713990001
93.95,26.5,44449.2225647
94.0,26.5,44768.5508728
94.05,26.5,45061.5081787
94.1,26.5,45326.4770508
94.15,26.5,45562.7784729
94.2,26.5,45770.690918
94.25,26.5,45951.465606699996
94.3,26.5,46107.292175300005
94.35,26.5,46241.2490845
94.4,26.5,46357.2463989
94.45,26.5,46459.9609375
94.5,26.5,46554.7676086
94.55,26.5,46647.6707458
94.6,26.5,46745.2659607
94.65,26.5,46854.7019958
94.7,26.5,46983.6578369
94.75,26.5,47140.3617859
94.8,26.5,47333.57620240001
94.85,26.5,47572.6318359
94.9,26.5,47867.4163818
94.95,26.5,48228.3630371
95.0,26.5,48666.393280000004
95.05,26.5,49192.8215027
