Short_Name,previous,next,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,ZT,Xarc,EXarc,Harc1,EHarc1,Tsp,ETsp,Tsp1,ETsp1,Tsed,ETsed,Tsed1,ETsed1,Tchannel,ETchannel,Tchannel1,ETchannel1,MT,MT1,UPN,UPS,Rsw,Riw,Rlw,ERsw,ERiw,ERlw,A,Phi,Tt_slab,Te_slab,alphaS,alphaD,Rc,Ztomo,Zseis,M56_SP_Name,M56_SP_ref,M56_UP_Name,M56_UP_ref,M56_ARC_Name,M56_ARC_ref,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vszn,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,Vup1,Az_Vup1,OVup1,Vupn1,Vsub1,Az_Vsub1,OVsub1,Vsubn1,Vt1,Az_Vt1,OVt1,Vtn1,Vup2,Az_Vup2,OVup2,Vupn2,Vsub2,Az_Vsub2,OVsub2,Vsubn2,Vt2,Az_Vt2,OVt2,Vtn2,Vup3,Az_Vup3,OVup3,Vupn3,Vsub3,Az_Vsub3,OVsub3,Vsubn3,Vt3,Az_Vt3,OVt3,Vtn3,Vup4,Az_Vup4,OVup4,Vupn4,Vsub4,Az_Vsub4,OVsub4,Vsubn4,Vt4,Az_Vt4,OVt4,Vtn4,N15_SP_Name,N15_SP_ref,N15_UP_Name,N15_UP_ref,N15_ARC_Name,N15_ARC_ref,N15_vs,N15_Azvs,N15_Ovs,N15_vsn,N15_vszn,N15_vc,N15_Azvc,N15_Ovc,N15_vcn,N15_vd,N15_Azvd,N15_Ovd,N15_vdn,Vup5,Az_Vup5,OVup5,Vupn5,Vsub5,Az_Vsub5,OVsub5,Vsubn5,Vt5,Az_Vt5,OVt5,Vtn5,Vup6,Az_Vup6,OVup6,Vupn6,Vsub6,Az_Vsub6,OVsub6,Vsubn6,Vt6,Az_Vt6,OVt6,Vtn6,Vup7,Az_Vup7,OVup7,Vupn7,Vsub7,Az_Vsub7,OVsub7,Vsubn7,Vt7,Az_Vt7,OVt7,Vtn7,Vup8,Az_Vup8,OVup8,Vupn8,Vsub8,Az_Vsub8,OVsub8,Vsubn8,Vt8,Az_Vt8,OVt8,Vtn8,Vup9,Az_Vup9,OVup9,Vupn9,Vsub9,Az_Vsub9,OVsub9,Vsubn9,Vt9,Az_Vt9,OVt9,Vtn9,Ux,Ux1,Uz,Uz1,Dx,Dx1,Dz,Dz1,W,W1,theta,theta1,N,N1,tau,tau1,MR,MR1,MMRR,MMRR1,Mmax,Mmax1,SeismicC1,Phi_sed,Phi_channel
SAM1,-,SAM2,SAM,1,Central America,254.5,19.1,252.2,17.5,261.7,23.6,54.9,5,191,-,-,-,-,-,0.4,-,-,-,0.7,-,-,-,-,-,undefined,erosional, continental, extensive,272,728,585,96,243,218,10,-,29,13,38,-,280,300,195,RIVERA,Argus et al. (2011),NORTH_AMERICA,Argus et al. (2011),DEF_JALISCO,Bandy et al. (2005),56,31,24,51,-,31,38,17,30,0,-,-,0,32,247,168,31,16,319,96,-2,32,247,168,31,20,229,174,20,12,20,35,10,20,229,174,20,20,234,179,20,13,11,35,9,20,234,179,20,13,222,167,13,18,35,35,17,13,222,167,13,COCOS,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,42,35,20,40,25,42,35,20,40,-,-,-,0,38,255,20,36,28,333,82,4,38,255,20,36,19,225,11,18,24,31,27,21,19,225,11,18,22,225,11,22,21,31,31,18,22,225,11,22,24,243,8,24,24,6,49,16,24,243,8,24,11,225,10,11,31,31,24,29,11,225,10,11,-,45,-,11,-,113,-,41,-,74,-,24,8,62,118,149,0,125.7,0,8.6,0,8,0.42,48,-
SAM2,SAM1,SAM3,SAM,2,Central America,256,17.9,254.3,15.7,261.3,24.3,37.4,4.9,207,-,-,-,-,-,0.4,-,-,-,0.7,-,-,-,-,-,undefined,erosional, continental, extensive,176,456,337,72,275,148,3,-,15,7,30,-,310,300,195,COCOS,Argus et al. (2011),NORTH_AMERICA,Argus et al. (2011),SOUTHERN MEXICO BLOCK,"Andreani et al., (2008)",65,23,14,63,-,59,32,5,59,11,149,112,-4,32,247,150,28,38,3,34,31,32,227,170,32,20,229,168,19,41,24,13,40,24,202,165,24,20,234,163,20,41,21,16,40,24,207,169,24,12,222,175,12,47,29,8,47,19,188,151,17,COCOS,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,47,36,1,47,-,47,36,1,47,-,-,-,0,39,255,40,30,30,341,54,18,39,255,40,30,19,226,9,19,29,33,8,28,19,226,9,19,22,226,7,22,26,33,8,25,22,226,7,22,24,243,26,22,28,13,25,26,24,243,26,22,11,226,9,11,37,33,4,37,11,226,9,11,42,45,16,11,106,113,41,41,69,74,21,24,16,62,240,149,25,125.7,9,8.6,8,8,0.42,48,-
SAM3,SAM2,SAM4,SAM,3,Central America,258,16.9,256.8,14.4,261.7,24.2,25,4.6,354,-,-,-,-,-,0.4,-,-,-,0.7,-,-,-,-,-,undefined,erosional, continental, extensive,214,491,238,94,152,107,6,-,22,10,20,-,440,300,169,COCOS,Argus et al. (2011),NORTH_AMERICA,Argus et al. (2011),SOUTHERN MEXICO BLOCK,"Andreani et al., (2008)",67,24,1,67,-,63,32,7,63,10,141,116,-5,32,248,137,24,42,6,19,39,31,229,156,28,20,230,155,18,45,25,0,45,23,202,177,23,20,235,150,18,45,22,3,45,22,207,178,22,12,224,161,11,52,30,5,52,17,186,161,16,COCOS,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,52,36,11,51,-,52,36,11,51,-,-,-,0,39,255,50,25,33,348,37,26,39,255,50,25,18,228,20,17,35,34,6,34,18,228,20,17,22,228,20,20,31,34,5,31,22,228,20,20,24,244,39,18,34,17,8,33,24,244,39,18,9,228,23,9,43,34,9,43,9,228,23,9,57,45,11,11,113,113,42,41,64,74,28,24,17,62,255,149,5.4,125.7,8.5,8.6,7.5,8,0.42,48,-
SAM4,SAM3,SAM5,SAM,4,Central America,260,16.3,258.6,13.9,264.4,23.3,30.4,5.2,346,-,-,-,-,-,0.3,-,-,-,0.7,-,-,-,-,-,undefined,erosional, continental,neutral,143,314,124,55,143,37,8,-,26,12,16,-,340,300,102,COCOS,Argus et al. (2011),NORTH_AMERICA,Argus et al. (2011),SOUTHERN MEXICO BLOCK,"Andreani et al., (2008)",69,24,6,69,-,67,32,2,67,10,133,103,-2,32,248,142,25,45,7,23,41,29,231,159,27,20,230,160,19,48,25,6,48,21,203,173,21,20,236,155,18,49,22,8,48,21,209,178,21,11,226,164,11,56,29,1,56,14,181,164,11,COCOS,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,57,35,15,55,-,57,35,15,55,-,-,-,0,40,255,55,23,37,352,28,33,40,255,55,23,19,233,17,18,40,32,1,40,19,233,17,18,22,233,16,21,36,32,2,36,22,233,16,21,24,246,35,19,39,18,13,38,24,246,35,19,9,233,22,8,49,32,2,49,9,233,22,8,-,45,-,11,-,113,-,41,-,74,-,24,7,62,104,149,0,125.7,0,8.6,0,8,0.42,48,-
SAM5,SAM4,SAM6,SAM,5,Central America,262,15.6,261.1,13,264.7,23.3,17.8,5.1,435,-,-,-,-,-,0.3,-,-,-,0.7,-,-,-,-,-,undefined,erosional, continental,neutral,164,426,128,46,151,32,12,-,32,14,18,-,400,300,122,COCOS,Argus et al. (2011),NORTH_AMERICA,Argus et al. (2011),SOUTHERN MEXICO BLOCK,"Andreani et al., (2008)",71,25,7,71,-,70,32,14,68,9,123,106,-2,32,249,129,20,49,9,9,48,28,234,144,23,20,231,147,17,52,25,7,52,19,204,174,19,20,237,141,16,52,23,5,52,19,210,168,18,10,229,149,9,60,29,11,59,12,181,164,11,COCOS,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,62,34,16,60,-,62,34,16,60,-,-,-,0,40,255,57,22,41,355,23,38,40,255,57,22,18,236,32,15,45,31,11,44,18,236,32,15,21,236,30,19,41,31,10,41,21,236,30,19,24,246,49,16,44,18,0,44,24,246,49,16,9,236,38,7,54,31,13,53,9,236,38,7,50,45,9,11,105,113,40,41,63,74,29,24,17,62,256,149,2.6,125.7,8.3,8.6,7.3,8,0.42,48,-
SAM6,SAM5,SAM7,SAM,6,Central America,264,15.3,263.5,12.6,265.5,23.3,9.7,5.5,378,-,-,-,-,-,0.3,-,-,-,0.7,-,-,-,-,-,undefined,erosional, continental,neutral,143,405,348,43,147,178,14,-,34,16,25,-,440,300,181,COCOS,Argus et al. (2011),NORTH_AMERICA,Argus et al. (2011),SOUTHERN MEXICO BLOCK,"Andreani et al., (2008)",73,25,15,70,-,73,32,22,68,9,113,104,-2,32,250,120,16,52,9,1,52,27,237,133,18,20,232,138,15,55,25,15,53,17,206,164,17,20,237,132,14,56,23,13,54,17,213,157,16,10,232,138,7,64,29,19,61,10,180,170,9,COCOS,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,66,33,23,61,32,66,33,23,61,-,-,-,0,40,255,65,17,45,357,13,44,40,255,65,17,18,241,41,13,50,30,17,47,18,241,41,13,21,241,39,16,46,30,17,44,21,241,39,16,23,248,58,12,49,18,8,48,23,248,58,12,7,241,52,5,60,30,20,56,7,241,52,5,-,45,-,11,-,113,-,41,-,74,-,24,4,62,60,149,0,125.7,0,8.6,0,8,0.42,48,-
SAM7,SAM6,SAM8,SAM,7,Central America,266,14.2,265,11.7,269.1,21.7,21,6.5,-,-,-,-,-,-,0.3,-,-,-,0.7,-,-,-,-,-,undefined,erosional, continental,neutral,81,216,133,26,75,57,25,1175,46,21,27,55,340,300,234,COCOS,Argus et al. (2011),NORTH_AMERICA,Argus et al. (2011),SOUTHERN MEXICO BLOCK,"Andreani et al., (2008)",74,25,5,74,47,77,32,11,76,9,101,80,1,32,250,120,21,55,11,10,55,25,240,142,20,20,232,132,17,59,25,4,59,15,206,175,15,20,238,124,16,60,23,2,59,15,214,167,15,9,234,134,8,69,29,8,68,7,170,149,6,COCOS,Gripp & Gordon (2002),CARIBBEAN,Gripp & Gordon (2002),-,-,63,26,5,63,38,63,26,5,63,-,-,-,0,29,254,42,21,49,1,31,42,29,254,42,21,8,94,8,8,56,31,8,55,8,94,8,8,12,94,1,12,52,31,7,52,12,94,1,12,12,239,38,9,54,20,1,54,12,239,38,9,5,94,73,-2,66,31,10,65,5,94,73,-2,39,48,9,15,72,139,39,63,45,103,42,28,13,119,193,317,0.3,23.89,7.7,8.1,6.7,7.7,0.05,48,-
SAM8,SAM7,SAM9,SAM,8,Central America,268,13.2,266.8,10.8,271.9,20.4,26.5,6.3,186,-,95,5,-,-,0.4,-,-,-,0.7,-,-,-,-,-,undefined,erosional, continental, extensive,90,247,138,35,99,63,24,1224,45,21,28,54,280,400,261,COCOS,Argus et al. (2011),CARIBBEAN,Argus et al. (2011),CAM FOREARC SLIVER,"Carvajal-Soto et al., (2020)",79,28,1,79,51,68,21,6,67,14,242,144,-12,13,243,144,10,59,12,14,57,27,243,144,22,8,153,126,5,63,26,1,63,16,214,173,16,6,161,134,4,63,24,2,63,16,221,165,16,12,89,62,-6,73,29,3,73,6,186,160,6,COCOS,Gripp & Gordon (2002),CARIBBEAN,Gripp & Gordon (2002),-,-,68,27,0,68,45,68,27,0,68,-,-,-,0,29,254,48,20,53,4,23,49,29,254,48,20,7,86,12,7,61,32,2,61,7,86,12,7,11,86,6,11,57,32,2,57,11,86,6,11,11,240,33,9,60,22,5,59,11,240,33,9,6,86,59,-3,72,32,5,72,6,86,59,-3,64,48,15,15,122,139,66,63,77,103,42,28,35,119,518,317,1.2,23.89,8.1,8.1,7,7.7,0.05,48,-
SAM9,SAM8,SAM10,SAM,9,Central America,270,12.3,269,9.8,273.2,19.8,22.2,5.8,190,-,95,5,-,-,0.4,-,-,-,0.6,-,-,-,-,-,undefined,erosional, continental, extensive,61,139,127,18,44,57,25,1350,46,21,30,64,260,400,281,COCOS,Argus et al. (2011),CARIBBEAN,Argus et al. (2011),CAM FOREARC SLIVER,"Carvajal-Soto et al., (2020)",77,28,6,77,54,71,21,1,71,11,259,123,-6,12,244,138,9,62,14,9,61,23,251,131,15,7,151,129,5,66,26,4,66,11,219,164,11,6,158,135,4,67,25,2,67,11,230,153,10,12,85,62,-6,77,30,7,76,2,116,93,0,COCOS,Gripp & Gordon (2002),CARIBBEAN,Gripp & Gordon (2002),-,-,73,27,5,73,52,73,27,5,73,-,-,-,0,30,254,52,19,57,5,17,55,30,254,52,19,7,81,7,7,66,30,7,66,7,81,7,7,11,81,4,11,62,30,5,62,11,81,4,11,12,243,41,9,64,21,1,64,12,243,41,9,5,81,59,-3,76,30,8,76,5,81,59,-3,68,48,15,15,138,139,62,63,84,103,34,28,17,119,251,317,0.15,23.89,7.5,8.1,6.3,7.7,0.05,50,-
SAM10,SAM9,SAM11,SAM,10,Central America,272,11.4,270.6,9.1,276.5,18.2,32,5.3,181,-,130,15,-,-,0.4,-,-,-,0.6,-,-,-,0.7,-,undefined,erosional, continental,neutral,78,225,166,28,75,87,25,1350,46,21,32,66,240,400,350,COCOS,Argus et al. (2011),CARIBBEAN,Argus et al. (2011),CAM FOREARC SLIVER,"Carvajal-Soto et al., (2020)",75,29,3,75,54,74,22,10,72,9,287,105,-2,12,246,146,10,65,14,18,62,20,263,129,12,7,148,116,3,69,27,5,69,6,232,160,6,5,154,122,3,70,25,7,70,7,251,141,5,13,81,49,-9,81,30,2,81,6,44,12,-6,COCOS,Gripp & Gordon (2002),CARIBBEAN,Gripp & Gordon (2002),-,-,78,27,5,78,58,78,27,5,78,-,-,-,0,30,254,42,22,61,7,25,55,30,254,42,22,7,74,15,6,71,31,3,71,7,74,15,6,11,74,5,11,67,31,4,67,11,74,5,11,12,244,32,10,69,22,10,68,12,244,32,10,6,74,42,-4,82,31,1,82,6,74,42,-4,63,48,15,15,139,139,62,63,90,103,32,28,20,119,296,317,3.7,23.89,8.4,8.1,7.6,7.7,0.05,50,32
