Short_Name,previous,next,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,ZT,Xarc,EXarc,Harc1,EHarc1,Tsp,ETsp,Tsp1,ETsp1,Tsed,ETsed,Tsed1,ETsed1,Tchannel,ETchannel,Tchannel1,ETchannel1,MT,MT1,UPN,UPS,Rsw,Riw,Rlw,ERsw,ERiw,ERlw,A,Phi,Tt_slab,Te_slab,alphaS,alphaD,Rc,Ztomo,Zseis,M56_SP_Name,M56_SP_ref,M56_UP_Name,M56_UP_ref,M56_ARC_Name,M56_ARC_ref,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vszn,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,Vup1,Az_Vup1,OVup1,Vupn1,Vsub1,Az_Vsub1,OVsub1,Vsubn1,Vt1,Az_Vt1,OVt1,Vtn1,Vup2,Az_Vup2,OVup2,Vupn2,Vsub2,Az_Vsub2,OVsub2,Vsubn2,Vt2,Az_Vt2,OVt2,Vtn2,Vup3,Az_Vup3,OVup3,Vupn3,Vsub3,Az_Vsub3,OVsub3,Vsubn3,Vt3,Az_Vt3,OVt3,Vtn3,Vup4,Az_Vup4,OVup4,Vupn4,Vsub4,Az_Vsub4,OVsub4,Vsubn4,Vt4,Az_Vt4,OVt4,Vtn4,N15_SP_Name,N15_SP_ref,N15_UP_Name,N15_UP_ref,N15_ARC_Name,N15_ARC_ref,N15_vs,N15_Azvs,N15_Ovs,N15_vsn,N15_vszn,N15_vc,N15_Azvc,N15_Ovc,N15_vcn,N15_vd,N15_Azvd,N15_Ovd,N15_vdn,Vup5,Az_Vup5,OVup5,Vupn5,Vsub5,Az_Vsub5,OVsub5,Vsubn5,Vt5,Az_Vt5,OVt5,Vtn5,Vup6,Az_Vup6,OVup6,Vupn6,Vsub6,Az_Vsub6,OVsub6,Vsubn6,Vt6,Az_Vt6,OVt6,Vtn6,Vup7,Az_Vup7,OVup7,Vupn7,Vsub7,Az_Vsub7,OVsub7,Vsubn7,Vt7,Az_Vt7,OVt7,Vtn7,Vup8,Az_Vup8,OVup8,Vupn8,Vsub8,Az_Vsub8,OVsub8,Vsubn8,Vt8,Az_Vt8,OVt8,Vtn8,Vup9,Az_Vup9,OVup9,Vupn9,Vsub9,Az_Vsub9,OVsub9,Vsubn9,Vt9,Az_Vt9,OVt9,Vtn9,Ux,Ux1,Uz,Uz1,Dx,Dx1,Dz,Dz1,W,W1,theta,theta1,N,N1,tau,tau1,MR,MR1,MMRR,MMRR1,Mmax,Mmax1,SeismicC1,Phi_sed,Phi_channel
NPA1,-,NPA2,NPA,1,Japan,142.2,35.0,145.1,33.7,133.0,38.3,297.1,8.1,-,-,-,-,0.2,-,-,-,-,-,0.5,-,1.2,-,-,-,erosional,undefined, continental,compressive,205,1233,712,97,905,484,132,5808,106,48,26,31,500,670,566,PACIFIC,Argus et al. (2011),AMUR,Argus et al. (2011),OKHOTSK,Argus et al. (2011),93,291,7,93,44,99,287,10,98,8,247,51,5,1,107,170,1,98,287,10,96,7,241,56,-4,13,82,145,11,87,291,6,87,6,101,164,6,12,89,152,10,88,290,7,87,5,122,175,5,29,121,176,29,71,282,15,69,25,135,162,24,PACIFIC,Gripp & Gordon (2002),AMUR,Heki et al. (1999),HONSHU,Mazzotti et al. (2001),93,295,1,93,46,101,295,4,101,-,-,-,8,12,286,5,-12,114,293,4,114,22,286,15,-21,24,130,5,24,78,286,6,78,14,130,3,14,20,130,2,20,82,286,4,82,10,132,12,10,14,133,16,13,89,291,6,89,4,153,36,3,35,130,13,34,69,286,11,68,25,132,15,24,24,57,16,10,228,210,60,60,208,161,12,18,33,215,498,671,0.37,746.56,7.8,9.1,6.3,9.1,0.93,52,19
NPA2,NPA1,NPA3,NPA,2,Japan,143.5,37.0,146.4,35.7,134.2,40.6,298.9,7.6,314,-,104,9,0.3,-,-,-,0.4,-,-,-,1.5,-,-,-,erosional,undefined, continental,compressive,187,1300,711,112,960,544,134,5628,107,49,24,30,560,670,582,PACIFIC,Argus et al. (2011),AMUR,Argus et al. (2011),OKHOTSK,Argus et al. (2011),93,291,8,92,42,98,288,11,96,7,243,56,4,1,107,168,1,97,288,11,95,7,237,62,-3,13,81,142,10,87,292,7,86,6,102,163,6,11,89,150,10,87,291,8,86,6,123,176,6,28,122,177,28,70,283,16,68,25,136,163,24,PACIFIC,Gripp & Gordon (2002),AMUR,Heki et al. (1999),HONSHU,Mazzotti et al. (2001),92,296,2,92,44,101,296,5,101,-,-,-,9,12,287,7,-12,112,294,5,112,21,287,18,-20,24,131,5,24,76,287,7,76,15,131,3,15,20,131,2,20,80,287,5,80,11,134,10,11,13,135,16,13,88,292,7,87,4,155,36,4,34,131,12,33,68,287,12,67,25,134,15,24,57,57,9,10,200,210,54,60,150,161,17,18,41,215,620,671,5.3,746.56,8.5,9.1,7.6,9.1,0.93,54,14
NPA3,NPA2,NPA4,NPA,3,Japan,144.2,39.0,147.6,38.6,133.8,39.5,276.6,7.3,322,-,104,9,-,-,0.3,-,-,-,0.4,-,2.0,-,-,-,erosional,undefined, continental,compressive,79,213,139,66,223,74,132,5148,106,48,23,29,580,670,566,PACIFIC,Argus et al. (2011),AMUR,Argus et al. (2011),OKHOTSK,Argus et al. (2011),92,292,15,89,39,96,289,12,94,7,239,37,6,1,107,169,1,96,289,12,93,6,233,44,-4,12,81,164,12,86,292,16,82,7,103,174,7,11,89,172,11,86,291,14,84,6,122,154,5,28,122,154,25,70,283,7,69,25,136,140,20,PACIFIC,Gripp & Gordon (2002),AMUR,Heki et al. (1999),HONSHU,Mazzotti et al. (2001),92,297,20,86,40,101,297,18,96,-,-,-,10,11,287,14,-11,111,294,17,106,20,287,3,-20,25,132,26,23,75,286,15,72,16,132,25,15,21,132,21,20,79,286,17,75,12,135,16,12,15,135,38,12,86,291,15,84,6,151,54,3,35,132,35,28,68,286,9,67,26,135,38,20,61,57,8,10,192,210,49,60,137,161,17,18,58,215,848,671,6.9,746.56,8.6,9.1,7.6,9.1,0.93,54,12
NPA4,NPA3,NPA5,NPA,4,Japan,144.5,40.5,147.7,39.4,134.2,43.1,291.9,7.4,336,-,104,9,0.3,-,-,-,-,-,0.4,-,1.0,-,-,-,erosional,undefined, continental,compressive,91,544,281,69,615,231,130,4420,105,48,19,25,580,670,564,PACIFIC,Argus et al. (2011),AMUR,Argus et al. (2011),OKHOTSK,Argus et al. (2011),92,292,0,92,34,95,289,3,95,6,236,56,3,1,108,176,1,95,289,3,95,6,230,62,-3,12,80,149,10,85,293,1,85,7,103,171,7,11,89,157,10,86,291,1,86,6,122,170,6,27,123,169,27,69,283,9,69,25,136,156,23,PACIFIC,Gripp & Gordon (2002),AMUR,Heki et al. (1999),HONSHU,Mazzotti et al. (2001),91,297,7,90,36,99,297,3,99,-,-,-,9,11,288,1,-11,110,295,3,110,20,288,12,-20,24,133,12,24,75,287,1,75,15,133,12,15,21,133,5,21,78,287,4,78,12,137,0,12,14,137,25,13,86,292,1,86,5,160,48,4,34,133,21,32,68,287,5,67,25,137,25,23,39,57,8,10,234,210,64,60,203,161,16,18,50,215,747,671,5.9,746.56,8.6,9.1,7.7,9.1,0.93,54,19
NPA5,NPA4,NPA6,NPA,5,Kurils,145.5,41.5,147.8,39.4,137.7,47.4,318.5,7.1,280,-,104,9,-,-,0.3,-,-,-,0.8,-,-,-,0.6,-,undefined,erosional, continental,neutral,110,678,361,71,651,252,130,4940,105,48,24,32,500,670,550,PACIFIC,Argus et al. (2011),OKHOTSK,Argus et al. (2011),-,-,91,293,26,82,38,91,293,26,82,0,-,-,0,6,227,91,0,94,289,29,82,6,227,91,0,7,104,146,6,84,293,25,76,7,104,146,6,6,122,164,6,85,292,27,76,6,122,164,6,25,137,178,25,69,284,35,57,25,137,178,25,PACIFIC,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,82,297,21,77,38,82,297,21,77,-,-,-,0,27,288,31,-23,109,295,24,100,27,288,31,-23,10,152,12,10,74,287,25,67,10,152,12,10,5,152,10,5,78,287,23,72,5,152,10,5,7,226,87,0,85,293,26,76,7,226,87,0,20,152,14,20,67,287,31,57,20,152,14,20,78,57,17,10,154,210,47,60,82,161,22,18,36,215,600,671,32.0,746.56,9.1,9.1,8.3,9.1,0.93,46,37
NPA6,NPA5,NPA7,NPA,6,Kurils,147.0,42.2,149.1,40.0,139.8,48.5,324.0,6.8,245,-,100,5,-,-,0.3,-,-,-,0.4,-,0.4,-,-,-,undefined,erosional, continental,neutral,126,455,260,63,422,192,126,4914,103,47,27,33,420,670,550,PACIFIC,Argus et al. (2011),OKHOTSK,Argus et al. (2011),-,-,91,293,31,78,39,91,293,31,78,0,-,-,0,6,225,99,1,93,290,34,77,6,225,99,1,7,106,142,6,84,294,30,73,7,106,142,6,7,124,160,6,84,293,31,72,7,124,160,6,25,138,174,25,69,285,39,53,25,138,174,25,PACIFIC,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,82,298,26,74,39,82,298,26,74,-,-,-,0,27,288,36,-22,108,296,28,95,27,288,36,-22,10,156,9,10,73,288,30,63,10,156,9,10,5,156,9,5,77,288,28,68,5,156,9,5,8,230,86,1,85,294,30,73,8,230,86,1,20,156,12,19,67,288,36,54,20,156,12,19,75,50,21,16,164,144,56,54,95,102,22,22,18,141,309,589,1.3,233.3,8.2,8.9,7.1,8.6,0.66,54,40
NPA7,NPA6,NPA8,NPA,7,Kurils,149.0,43.5,151.4,41.4,140.8,49.3,318.9,8.7,206,-,100,5,-,-,0.3,-,-,-,0.4,-,-,-,0.5,-,undefined,erosional,oceanic,neutral,91,252,246,49,128,154,120,5640,101,46,30,40,410,670,550,PACIFIC,Argus et al. (2011),OKHOTSK,Argus et al. (2011),-,-,90,295,24,82,47,90,295,24,82,0,-,-,0,6,221,98,1,92,291,28,81,6,221,98,1,7,108,149,6,83,295,24,76,7,108,149,6,7,126,167,7,83,294,25,75,7,126,167,7,25,139,180,25,68,286,33,57,25,139,180,25,PACIFIC,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,81,300,19,76,47,81,300,19,76,-,-,-,0,26,288,31,-22,107,297,22,99,26,288,31,-22,10,155,16,10,73,289,24,67,10,155,16,10,6,155,12,6,76,289,21,71,6,155,12,6,8,220,81,1,83,294,24,76,8,220,81,1,21,155,17,20,66,289,30,57,21,155,17,20,51,50,20,16,115,144,43,54,68,102,20,22,43,141,722,589,8.0,233.3,8.7,8.9,7.6,8.6,0.66,54,33
NPA8,NPA7,NPA9,NPA,8,Kurils,151.0,44.4,152.9,42.1,144.4,51.2,329.4,9.0,184,-,78,4,0.3,-,-,-,0.4,-,-,-,-,-,-,-,undefined,erosional,oceanic,neutral,68,226,224,21,81,102,117,5265,99,45,31,44,380,670,589,PACIFIC,Argus et al. (2011),OKHOTSK,Argus et al. (2011),-,-,89,296,34,74,45,89,296,34,74,0,-,-,0,6,218,112,2,91,292,37,72,6,218,112,2,7,110,141,6,82,296,33,69,7,110,141,6,7,128,159,6,83,295,35,68,7,128,159,6,25,141,171,25,67,286,43,49,25,141,171,25,PACIFIC,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,81,301,29,71,46,81,301,29,71,-,-,-,0,25,288,41,-19,105,298,31,90,25,288,41,-19,11,156,4,11,71,290,33,59,11,156,4,11,7,156,4,7,75,290,31,64,7,156,4,7,8,218,69,3,82,296,34,68,8,218,69,3,21,156,7,21,65,290,39,50,21,156,7,21,43,50,15,16,133,144,50,54,96,102,21,22,34,141,616,589,4.2,233.3,8.5,8.9,7.6,8.6,0.66,54,-
NPA9,NPA8,NPA10,NPA,9,Kurils,153.0,45.3,155.5,43.3,144.4,51.0,318.3,8.9,198,-,78,4,-,-,0.3,-,-,-,0.4,-,-,-,-,-,undefined,erosional,oceanic,neutral,79,352,231,24,172,100,116,6032,99,45,33,47,360,670,590,PACIFIC,Argus et al. (2011),OKHOTSK,Argus et al. (2011),-,-,89,297,22,82,52,89,297,22,82,0,-,-,0,6,215,103,1,90,293,25,81,6,215,103,1,8,113,154,7,81,297,21,76,8,113,154,7,7,130,172,7,82,296,23,75,7,130,172,7,25,142,176,25,67,287,31,57,25,142,176,25,PACIFIC,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,80,302,16,77,53,80,302,16,77,-,-,-,0,24,288,30,-21,104,299,19,98,24,288,30,-21,12,157,17,11,71,291,21,66,12,157,17,11,8,157,13,7,74,291,19,70,8,157,13,7,8,216,77,2,81,297,22,76,8,216,77,2,21,157,19,20,64,291,27,57,21,157,19,20,59,52,4,10,145,137,59,51,102,95,33,26,26,84,444,467,3.6,60.05,8.5,8.6,7.6,8.3,0.25,54,-
NPA10,NPA9,NPA11,NPA,10,Kurils,155.1,47.0,158.1,45.3,144.8,51.5,307.6,7.7,184,-,80,7,-,-,0.3,-,-,-,0.4,-,-,-,0.5,-,undefined,accretionary,oceanic,neutral,106,448,272,36,175,124,114,6498,98,45,35,48,360,900,640,PACIFIC,Argus et al. (2011),OKHOTSK,Argus et al. (2011),-,-,87,298,9,86,57,87,298,9,86,0,-,-,0,6,211,97,1,88,294,14,85,6,211,97,1,8,115,167,8,80,298,9,79,8,115,167,8,7,131,176,7,80,297,11,79,7,131,176,7,25,144,164,24,66,289,19,62,25,144,164,24,PACIFIC,Gripp & Gordon (2002),NORTH_AMERICA,Gripp & Gordon (2002),-,-,79,304,4,79,55,79,304,4,79,-,-,-,0,23,288,20,-22,102,300,8,101,23,288,20,-22,13,160,29,11,69,292,10,68,13,160,29,11,9,160,25,8,72,292,8,71,9,160,25,8,9,213,85,1,80,297,10,79,9,213,85,1,21,160,32,18,64,292,16,61,21,160,32,18,51,52,12,10,136,137,44,51,91,95,21,26,30,84,484,467,0.25,60.05,7.7,8.6,6.4,8.3,0.25,54,33
